Character, Abs. Freq., Rel. Freq.
戌,1,14493
原,1,14493
畢,2,28986
告,1,14493
酒,1,14493
靖,2,28986
君,1,14493
戍,1,14493
為,2,28986
昏,1,14493
卿,1,14493
侯,6,86957
曹,2,28986
說,1,14493
使,4,57971
杞,6,86957
許,1,14493
新,1,14493
言,2,28986
尚,1,14493
溱,1,14493
官,1,14493
廬,1,14493
知,4,57971
老,1,14493
圍,4,57971
執,1,14493
縠,2,28986
玉,4,57971
飲,1,14493
免,1,14493
陳,1,14493
樂,2,28986
本,1,14493
教,2,28986
右,1,14493
功,1,14493
偃,2,28986
公,8,115942
舉,2,28986
府,1,14493
來,2,28986
昭,1,14493
賀,5,72464
林,1,14493
喪,1,14493
徵,1,14493
伯,1,14493
上,1,14493
穀,1,14493
對,1,14493
易,1,14493
納,1,14493
豐,1,14493
苟,1,14493
狐,3,43478
軫,3,43478
晉,2,28986
乘,1,14493
庸,1,14493
詩,2,28986
文,5,72464
安,1,14493
怨,1,14493
幼,1,14493
趙,2,28986
男,1,14493
剛,1,14493
諸,4,57971
幾,1,14493
霸,2,28986
御,1,14493
百,1,14493
書,3,43478
敦,1,14493
內,1,14493
蒐,2,28986
元,1,14493
賈,1,14493
明,2,28986
鞭,1,14493
車,1,14493
作,2,28986
共,2,28986
試,2,28986
欲,1,14493
謀,1,14493
夷,1,14493
衰,2,28986
辭,1,14493
大,1,14493
入,6,86957
七,3,43478
求,1,14493
犨,1,14493
被,1,14493
終,2,28986
信,2,28986
朝,3,43478
甲,1,14493
桓,1,14493
禮,8,115942
卒,2,28986
遂,1,14493
庚,1,14493
紀,1,14493
盟,1,14493
人,4,57971
佐,3,43478
獲,1,14493
宣,1,14493
八,1,14493
復,1,14493
鄭,1,14493
毛,1,14493
父,1,14493
懷,1,14493
患,1,14493
巳,1,14493
王,1,14493
及,1,14493
秩,1,14493
枝,2,28986
利,2,28986
年,3,43478
卑,1,14493
正,1,14493
伐,2,28986
廢,1,14493
讓,2,28986
居,1,14493
資,1,14493
政,1,14493
乙,2,28986
問,1,14493
秋,2,28986
服,1,14493
惑,1,14493
報,1,14493
外,1,14493
冬,2,28986
傳,1,14493
寅,1,14493
戮,1,14493
戎,1,14493
德,2,28986
義,3,43478
齊,5,72464
聽,1,14493
春,2,28986
賦,1,14493
急,1,14493
師,1,14493
楚,5,72464
一,2,28986
生,2,28986
固,1,14493
蒍,2,28986
宋,7,101449
責,1,14493
民,9,130435
魏,1,14493
軍,4,57971
帥,2,28986
衛,2,28986
會,1,14493
用,5,72464
夏,3,43478
釋,1,14493
欒,2,28986
施,1,14493
睽,1,14493
治,3,43478
戰,1,14493
荀,1,14493
襄,1,14493
威,1,14493
月,3,43478
聞,1,14493
兵,2,28986
日,1,14493
郤,3,43478
定,2,28986
孝,2,28986
貫,1,14493
中,1,14493
救,2,28986
耳,1,14493
臣,1,14493
葬,1,14493
務,1,14493
示,2,28986
將,6,86957
犯,3,43478
亟,1,14493
孫,1,14493
敗,3,43478
國,3,43478
無,2,28986
蔡,1,14493
命,1,14493
