Character, Abs. Freq., Rel. Freq.
赴,2,14409
齒,1,7205
懼,1,7205
處,1,7205
寘,1,7205
使,2,14409
還,1,7205
右,1,7205
鯈,1,7205
誅,1,7205
男,1,7205
罪,2,14409
興,1,7205
保,1,7205
陳,2,14409
外,2,14409
桑,1,7205
匜,1,7205
食,1,7205
廢,1,7205
璧,2,14409
名,6,43228
賦,2,14409
公,32,230548
刑,2,14409
鹿,1,7205
校,1,7205
緡,2,14409
質,1,7205
櫜,1,7205
盍,1,7205
己,1,7205
羽,1,7205
今,2,14409
裸,1,7205
賜,2,14409
吾,6,43228
殆,1,7205
策,1,7205
餘,1,7205
降,3,21614
臣,5,36023
薄,1,7205
日,1,7205
沃,1,7205
疾,1,7205
內,1,7205
尹,1,7205
革,1,7205
天,8,57637
齊,6,43228
令,1,7205
況,1,7205
對,5,36023
自,1,7205
隗,5,36023
逞,2,14409
穀,1,7205
鞬,1,7205
治,1,7205
寬,1,7205
廧,1,7205
衛,2,14409
戈,1,7205
妻,3,21614
茲,1,7205
廣,1,7205
負,1,7205
乞,1,7205
觀,3,21614
卑,1,7205
辟,3,21614
文,5,36023
空,1,7205
奉,1,7205
野,2,14409
姬,2,14409
免,1,7205
難,2,14409
死,1,7205
成,2,14409
誰,2,14409
蠶,1,7205
送,1,7205
屬,1,7205
鄭,3,21614
波,1,7205
敢,1,7205
稱,2,14409
盥,1,7205
適,1,7205
衰,7,50432
啟,3,21614
曹,3,21614
姓,2,14409
諸,7,50432
河,1,7205
期,2,14409
帥,1,7205
焦,1,7205
耳,7,50432
偃,3,21614
狄,3,21614
祿,1,7205
實,1,7205
古,1,7205
患,1,7205
固,1,7205
鞭,2,14409
請,3,21614
伐,6,43228
納,2,14409
頡,1,7205
書,4,28818
駢,1,7205
》,1,7205
欲,3,21614
突,2,14409
帛,1,7205
謀,2,14409
贈,1,7205
中,1,7205
妾,1,7205
數,1,7205
召,2,14409
僖,1,7205
亡,1,7205
見,1,7205
來,2,14409
獲,2,14409
遣,1,7205
同,4,28818
人,14,100865
安,2,14409
靖,3,21614
服,2,14409
待,2,14409
姜,4,28818
羈,1,7205
仕,2,14409
旋,1,7205
宋,7,50432
離,1,7205
寅,1,7205
建,1,7205
塊,1,7205
劉,1,7205
肅,1,7205
忠,2,14409
囚,1,7205
違,1,7205
蒲,2,14409
聽,1,7205
懷,4,28818
季,4,28818
楚,6,43228
毛,2,14409
儉,1,7205
享,2,14409
氏,2,14409
圍,2,14409
明,3,21614
叔,6,43228
伯,3,21614
赦,1,7205
師,1,7205
委,1,7205
拜,3,21614
咎,2,14409
共,1,7205
逐,1,7205
儕,1,7205
木,1,7205
怒,2,14409
君,12,86455
馬,2,14409
揮,1,7205
兵,1,7205
秦,4,28818
大,4,28818
志,3,21614
嫁,2,14409
襄,2,14409
原,1,7205
佐,1,7205
饗,1,7205
否,1,7205
盾,1,7205
他,1,7205
年,6,43228
泓,1,7205
德,1,7205
弭,1,7205
父,4,28818
禮,7,50432
一,4,28818
制,1,7205
浴,1,7205
魏,1,7205
貳,5,36023
相,2,14409
周,2,14409
力,1,7205
司,1,7205
戰,1,7205
殺,5,36023
左,1,7205
載,1,7205
報,3,21614
國,9,64841
受,2,14409
杞,3,21614
功,2,14409
首,3,21614
侯,6,43228
執,2,14409
晉,16,115274
從,8,57637
我,4,28818
無,7,50432
舍,1,7205
反,5,36023
唐,1,7205
命,5,36023
民,1,7205
聞,6,43228
上,2,14409
遂,2,14409
飧,2,14409
方,1,7205
乘,2,14409
卒,5,36023
事,1,7205
討,2,14409
稽,2,14409
地,1,7205
醒,1,7205
諫,1,7205
秋,2,14409
為,3,21614
顛,1,7205
弟,1,7205
貴,1,7205
桓,1,7205
教,3,21614
饋,1,7205
親,1,7205
《,1,7205
及,9,64841
願,1,7205
犯,4,28818
辭,1,7205
脅,1,7205
濫,1,7205
女,4,28818
盤,1,7205
蚤,1,7205
行,3,21614
冬,2,14409
城,3,21614
醉,1,7205
盟,3,21614
夏,2,14409
惡,1,7205
水,1,7205
嬴,1,7205
頓,1,7205
幾,1,7205
夷,2,14409
蕃,1,7205
趙,3,21614
武,1,7205
狐,3,21614
卜,1,7205
奔,2,14409
告,1,7205
敏,1,7205
春,2,14409
生,5,36023
惠,1,7205
靈,1,7205
淫,1,7205
遇,1,7205
匹,1,7205
敗,1,7205
重,7,50432
就,1,7205
庚,1,7205
玉,2,14409
戮,1,7205
詹,1,7205
士,1,7205
傷,1,7205
將,7,50432
月,6,43228
級,1,7205
