Character, Abs. Freq., Rel. Freq.
致,3,97087
八,2,64725
祔,1,32362
天,1,32362
寢,1,32362
恥,1,32362
非,1,32362
臣,1,32362
發,1,32362
來,1,32362
懼,1,32362
陳,1,32362
乞,2,64725
崩,1,32362
宋,2,64725
公,4,129450
曹,1,32362
哀,1,32362
大,4,129450
姜,1,32362
國,1,32362
伯,3,97087
世,1,32362
弱,1,32362
禘,2,64725
丁,1,32362
立,1,32362
襄,1,32362
仁,2,64725
洮,2,64725
孰,1,32362
姑,1,32362
克,3,97087
難,1,32362
采,2,64725
服,1,32362
父,1,32362
齊,1,32362
請,2,64725
師,1,32362
告,1,32362
緩,1,32362
夷,1,32362
室,1,32362
廟,2,64725
男,1,32362
年,3,97087
伐,2,64725
謀,1,32362
退,1,32362
射,2,64725
禮,1,32362
鄭,2,64725
會,1,32362
固,1,32362
順,1,32362
盟,4,129450
從,1,32362
帥,1,32362
薨,1,32362
御,1,32362
茲,1,32362
王,6,194175
衛,1,32362
及,1,32362
無,2,64725
晰,1,32362
位,1,32362
虢,2,64725
月,4,129450
君,1,32362
桑,2,64725
目,1,32362
示,1,32362
疾,1,32362
長,1,32362
正,1,32362
用,1,32362
同,1,32362
遂,1,32362
侯,2,64725
為,1,32362
許,1,32362
敗,1,32362
魚,2,64725
人,4,129450
晉,3,97087
赴,1,32362
夏,2,64725
報,1,32362
喪,2,64725
定,1,32362
辭,1,32362
役,1,32362
右,1,32362
速,1,32362
七,1,32362
梁,2,64725
秋,2,64725
狄,6,194175
里,2,64725
復,1,32362
靡,2,64725
春,2,64725
期,2,64725
冬,2,64725
走,1,32362
款,1,32362
殯,1,32362
命,1,32362
讓,1,32362
