Character, Abs. Freq., Rel. Freq.
職,2,74349
逆,1,37175
禮,3,111524
隰,1,37175
王,8,297398
日,1,37175
往,1,37175
詩,1,37175
宜,1,37175
庚,1,37175
恃,1,37175
氏,2,74349
帶,2,74349
祀,1,37175
國,1,37175
敢,1,37175
讓,1,37175
討,1,37175
朕,1,37175
勳,1,37175
勞,1,37175
舅,1,37175
德,1,37175
郢,1,37175
卒,1,37175
丑,1,37175
管,5,185874
戎,3,111524
臼,1,37175
節,1,37175
丁,1,37175
高,1,37175
嘉,1,37175
齊,3,111524
懿,1,37175
人,2,74349
陳,1,37175
睦,1,37175
及,1,37175
滅,2,74349
害,1,37175
黃,3,111524
應,1,37175
饗,1,37175
楚,4,148699
卿,2,74349
侯,4,148699
來,1,37175
仲,3,111524
受,1,37175
月,3,111524
七,1,37175
冬,2,74349
還,1,37175
悌,1,37175
忘,2,74349
上,2,74349
百,1,37175
使,2,74349
愷,1,37175
司,1,37175
辭,2,74349
平,2,74349
午,1,37175
無,1,37175
年,2,74349
城,1,37175
狄,1,37175
郛,1,37175
神,1,37175
督,1,37175
夷,1,37175
衛,1,37175
食,1,37175
臣,2,74349
陪,1,37175
春,3,111524
晉,1,37175
自,1,37175
朋,1,37175
承,1,37175
夏,2,74349
諸,2,74349
吾,1,37175
君,2,74349
天,1,37175
賤,1,37175
踐,1,37175
懼,1,37175
我,2,74349
秋,3,111524
杵,1,37175
奔,1,37175
世,1,37175
余,1,37175
里,1,37175
難,2,74349
共,1,37175
守,1,37175
丘,1,37175
命,2,74349
