Character, Abs. Freq., Rel. Freq.
聞,2,36101
對,2,36101
刑,1,18051
告,2,36101
誰,1,18051
劍,1,18051
畀,1,18051
春,2,36101
騅,1,18051
實,1,18051
克,4,72202
隰,1,18051
父,1,18051
伯,3,54152
衛,2,36101
冬,2,36101
甘,1,18051
冀,1,18051
侯,5,90253
從,1,18051
敝,1,18051
無,4,72202
秦,8,144404
復,1,18051
叔,1,18051
弒,2,36101
歂,1,18051
月,3,54152
圖,1,18051
巫,1,18051
遂,2,36101
共,2,36101
緩,1,18051
正,1,18051
泠,1,18051
城,1,18051
偏,1,18051
類,1,18051
救,1,18051
遇,1,18051
乏,1,18051
言,3,54152
往,1,18051
違,1,18051
夏,2,36101
使,3,54152
宮,1,18051
平,5,90253
日,1,18051
為,2,36101
山,1,18051
難,1,18051
命,1,18051
僕,1,18051
雪,1,18051
戎,1,18051
背,1,18051
年,2,36101
行,2,36101
人,1,18051
北,1,18051
纍,1,18051
召,2,36101
王,4,72202
失,2,36101
請,2,36101
新,1,18051
誘,1,18051
鄭,3,54152
滅,3,54152
濟,1,18051
虎,1,18051
伏,1,18051
黨,2,36101
晉,8,144404
臣,3,54152
謝,1,18051
說,1,18051
韓,1,18051
歆,1,18051
見,2,36101
聘,1,18051
問,2,36101
微,1,18051
改,1,18051
報,1,18051
殺,5,90253
賂,1,18051
豹,1,18051
一,1,18051
里,5,90253
耳,1,18051
小,1,18051
甥,1,18051
齊,3,54152
罪,3,54152
夷,1,18051
國,1,18051
登,1,18051
忌,2,36101
帝,2,36101
七,3,54152
賈,1,18051
輿,1,18051
主,1,18051
息,1,18051
芮,2,36101
立,1,18051
及,5,90253
周,1,18051
稱,1,18051
祀,4,72202
雨,1,18051
特,1,18051
左,1,18051
幣,1,18051
君,10,180505
會,1,18051
期,1,18051
廢,1,18051
加,1,18051
伐,3,54152
呂,1,18051
公,4,72202
重,3,54152
我,3,54152
突,1,18051
祁,2,36101
叛,1,18051
余,2,36101
殄,1,18051
民,3,54152
男,1,18051
即,1,18051
堅,1,18051
荀,1,18051
西,1,18051
適,1,18051
信,1,18051
非,2,36101
郤,2,36101
狄,5,90253
卓,1,18051
奔,3,54152
蔑,1,18051
納,1,18051
興,1,18051
辭,1,18051
蘇,3,54152
將,5,90253
許,3,54152
舉,1,18051
朋,1,18051
吾,2,36101
禮,1,18051
溫,3,54152
大,9,162455
華,2,36101
死,1,18051
葬,1,18051
秋,2,36101
狐,1,18051
罰,1,18051
右,1,18051
禍,1,18051
怨,1,18051
族,1,18051
諾,1,18051
欲,1,18051
神,1,18051
