Character, Abs. Freq., Rel. Freq.
利,2,46948
使,3,70423
商,1,23474
城,1,23474
安,1,23474
葬,1,23474
瑕,1,23474
杞,1,23474
沈,1,23474
師,8,187793
將,1,23474
大,1,23474
虎,1,23474
儆,1,23474
江,1,23474
伐,8,187793
孟,1,23474
武,1,23474
川,1,23474
敗,1,23474
綽,1,23474
火,3,70423
郟,1,23474
歲,1,23474
求,1,23474
炎,1,23474
戌,1,23474
勝,1,23474
帝,3,70423
冬,2,46948
侯,1,23474
盈,1,23474
鄭,12,281690
適,1,23474
陽,2,46948
寡,1,23474
止,1,23474
今,1,23474
舅,1,23474
請,1,23474
元,2,46948
祿,2,46948
溝,1,23474
僖,1,23474
兵,1,23474
遷,1,23474
祉,1,23474
游,1,23474
吳,5,117371
月,3,70423
晉,1,23474
啟,1,23474
皇,2,46948
諸,1,23474
為,1,23474
遇,2,46948
命,2,46948
姓,1,23474
昔,1,23474
舍,1,23474
妹,1,23474
位,2,46948
甥,1,23474
干,1,23474
宋,9,211268
敵,2,46948
知,2,46948
受,1,23474
嬖,1,23474
邗,1,23474
圍,2,46948
壘,1,23474
帥,1,23474
歸,2,46948
趙,3,70423
需,1,23474
來,1,23474
人,3,70423
外,1,23474
卜,1,23474
名,2,46948
吉,5,117371
滿,1,23474
賸,1,23474
救,4,93897
罪,1,23474
泰,1,23474
日,1,23474
占,1,23474
丘,3,70423
通,1,23474
陳,3,70423
許,2,46948
秋,2,46948
進,1,23474
淮,1,23474
每,1,23474
春,2,46948
甲,1,23474
周,1,23474
史,6,140845
王,1,23474
死,1,23474
方,2,46948
瑗,2,46948
羅,1,23474
辭,1,23474
革,1,23474
鞅,1,23474
楚,2,46948
乙,2,46948
張,1,23474
即,1,23474
興,1,23474
年,2,46948
姚,1,23474
他,1,23474
微,1,23474
君,1,23474
龜,2,46948
我,1,23474
姜,3,70423
雍,3,70423
夏,2,46948
無,2,46948
聞,1,23474
合,1,23474
哭,1,23474
筮,1,23474
從,1,23474
易,1,23474
墨,2,46948
齊,3,70423
水,4,93897
邑,1,23474
公,4,93897
