Character, Abs. Freq., Rel. Freq.
狄,1,53191
民,1,53191
無,1,53191
衛,2,106383
齊,2,106383
晉,4,212766
即,1,53191
月,3,159574
豐,1,53191
孫,1,53191
陳,3,159574
盾,1,53191
易,1,53191
行,1,53191
人,3,159574
語,1,53191
赤,1,53191
德,1,53191
一,1,53191
為,1,53191
及,1,53191
曼,1,53191
周,2,106383
侯,1,53191
侵,2,106383
廖,2,106383
公,2,106383
冬,2,106383
殷,1,53191
將,1,53191
書,1,53191
中,1,53191
：,1,53191
離,1,53191
歲,1,53191
伐,3,159574
欲,2,106383
間,1,53191
疾,1,53191
春,2,106383
殪,2,106383
后,2,106383
鄭,3,159574
求,1,53191
》,1,53191
貪,1,53191
螽,1,53191
卿,1,53191
還,1,53191
邢,1,53191
服,1,53191
丘,1,53191
免,1,53191
王,3,159574
盈,1,53191
楚,2,106383
滿,1,53191
逆,1,53191
《,1,53191
殺,1,53191
成,1,53191
秋,2,106383
貫,1,53191
類,1,53191
定,1,53191
八,1,53191
召,1,53191
趙,1,53191
戎,1,53191
圍,1,53191
桓,2,106383
使,2,106383
年,2,106383
懷,1,53191
告,1,53191
伯,2,106383
夏,2,106383
