Character, Abs. Freq., Rel. Freq.
錫,1,2516
左,6,15094
成,2,5031
功,5,12579
質,3,7547
祿,2,5031
客,1,2516
猶,2,5031
備,1,2516
蜀,4,10063
集,1,2516
慶,1,2516
蔡,4,10063
佐,5,12579
婦,2,5031
克,10,25157
事,4,10063
春,2,5031
舅,2,5031
正,1,2516
尹,2,5031
注,1,2516
命,17,42767
惡,1,2516
遒,1,2516
甥,2,5031
爾,2,5031
紓,1,2516
盟,12,30189
織,1,2516
綦,1,2516
賄,1,2516
父,15,37736
逃,3,7547
伐,7,17610
守,1,2516
姑,1,2516
丑,6,15094
丙,2,5031
欒,2,5031
假,2,5031
北,2,5031
魁,1,2516
遣,1,2516
秋,2,5031
朔,1,2516
紀,1,2516
東,3,7547
匱,3,7547
煩,1,2516
土,3,7547
詩,5,12579
兆,1,2516
弟,3,7547
窌,1,2516
詰,1,2516
向,1,2516
利,5,12579
請,12,30189
寡,6,15094
書,5,12579
免,12,30189
受,6,15094
婁,2,5031
陵,1,2516
逐,1,2516
上,3,7547
叔,13,32704
衛,21,52830
責,1,2516
忠,2,5031
賂,3,7547
帥,8,20126
往,2,5031
失,2,5031
冬,2,5031
進,3,7547
衡,3,7547
色,2,5031
俛,1,2516
玉,1,2516
腆,2,5031
送,2,5031
舉,1,2516
少,1,2516
壘,1,2516
憾,1,2516
哭,2,5031
逞,1,2516
餘,2,5031
背,1,2516
縶,1,2516
知,3,7547
邾,1,2516
豈,4,10063
國,18,45283
弒,1,2516
賞,1,2516
亡,2,5031
己,2,5031
罃,1,2516
使,28,70440
常,2,5031
龍,3,7547
懲,1,2516
僕,1,2516
癸,2,5031
韓,7,17610
司,7,17610
空,1,2516
馳,2,5031
媚,3,7547
賈,1,2516
犒,1,2516
一,9,22642
自,9,22642
謗,1,2516
橈,1,2516
莊,4,10063
物,1,2516
橋,3,7547
立,1,2516
孝,3,7547
徼,1,2516
惜,1,2516
酉,3,7547
討,2,5031
罪,2,5031
永,1,2516
禮,9,22642
死,8,20126
望,1,2516
授,1,2516
見,7,17610
逮,1,2516
亞,1,2516
善,3,7547
路,1,2516
承,1,2516
須,1,2516
我,11,27673
壬,2,5031
母,3,7547
薛,1,2516
敢,8,20126
邲,2,5031
力,5,12579
害,1,2516
僑,1,2516
匿,1,2516
《,1,2516
夭,1,2516
妻,2,5031
口,1,2516
勝,1,2516
制,1,2516
抑,1,2516
益,3,7547
乏,2,5031
泯,1,2516
邴,2,5031
戶,1,2516
男,2,5031
夏,10,25157
禁,1,2516
午,1,2516
燮,3,7547
侈,1,2516
納,2,5031
候,1,2516
說,1,2516
緩,2,5031
鄍,1,2516
遂,7,17610
執,4,10063
戈,1,2516
申,4,10063
勇,2,5031
起,1,2516
侯,34,85535
乘,5,12579
錮,2,5031
還,3,7547
宋,5,12579
當,1,2516
薨,1,2516
兵,1,2516
目,2,5031
邢,1,2516
徐,1,2516
甯,1,2516
滅,1,2516
恤,1,2516
勞,3,7547
致,1,2516
兄,2,5031
竊,2,5031
毀,1,2516
社,2,5031
鼓,4,10063
燼,1,2516
再,1,2516
連,1,2516
家,2,5031
罰,4,10063
道,2,5031
璧,1,2516
肅,1,2516
稽,1,2516
盡,5,12579
言,1,2516
理,3,7547
顧,1,2516
矢,2,5031
服,2,5031
桀,1,2516
攸,1,2516
式,1,2516
尼,1,2516
葬,2,5031
速,2,5031
藉,1,2516
告,9,22642
代,2,5031
解,2,5031
庚,2,5031
勤,1,2516
臣,18,45283
觴,1,2516
穆,1,2516
殷,1,2516
七,3,7547
民,4,10063
周,6,15094
張,4,10063
爭,1,2516
美,1,2516
降,1,2516
加,1,2516
反,6,15094
勉,2,5031
軍,5,12579
彭,1,2516
秦,2,5031
鍼,1,2516
轡,1,2516
甚,3,7547
保,1,2516
易,1,2516
襄,4,10063
臧,5,12579
音,1,2516
蒲,1,2516
內,2,5031
撫,3,7547
任,2,5031
戌,2,5031
黑,1,2516
逸,1,2516
天,3,7547
月,10,25157
陘,1,2516
生,3,7547
平,2,5031
群,4,10063
：,3,7547
翰,1,2516
收,1,2516
名,5,12579
尸,4,10063
皇,1,2516
繼,1,2516
茷,1,2516
寓,1,2516
隱,1,2516
戰,4,10063
崇,1,2516
血,1,2516
曲,1,2516
怒,1,2516
磬,1,2516
厚,1,2516
復,2,5031
戮,4,10063
汶,2,5031
蛇,1,2516
無,16,40252
即,3,7547
君,40,100629
郢,1,2516
榮,1,2516
難,3,7547
屈,2,5031
辱,5,12579
治,1,2516
同,4,10063
夷,1,2516
訓,1,2516
繁,1,2516
信,4,10063
泉,2,5031
姬,5,12579
吾,18,45283
謀,2,5031
毋,1,2516
流,1,2516
畏,3,7547
相,2,5031
異,1,2516
轏,1,2516
手,1,2516
莘,1,2516
日,1,2516
旗,1,2516
等,1,2516
辟,5,12579
右,10,25157
地,7,17610
築,3,7547
鰥,1,2516
震,1,2516
誰,1,2516
況,4,10063
期,1,2516
久,1,2516
辭,4,10063
頃,1,2516
孟,1,2516
患,1,2516
合,4,10063
來,5,12579
勿,2,5031
御,8,20126
輿,6,15094
役,6,15094
鄙,2,5031
擐,1,2516
畝,3,7547
年,3,7547
投,1,2516
實,4,10063
作,1,2516
鞏,4,10063
嬖,2,5031
賓,2,5031
孔,1,2516
方,1,2516
介,2,5031
嬰,3,7547
袁,1,2516
射,4,10063
并,1,2516
湎,1,2516
樂,1,2516
識,1,2516
弱,2,5031
余,8,20126
高,1,2516
義,3,7547
食,1,2516
齊,48,120755
夢,1,2516
田,2,5031
獲,2,5031
諫,2,5031
室,3,7547
許,16,40252
抽,1,2516
務,2,5031
狄,3,7547
文,6,15094
云,1,2516
冠,1,2516
奸,1,2516
居,2,5031
從,13,32704
慎,4,10063
諸,11,27673
求,6,15094
寅,1,2516
城,4,10063
定,1,2516
門,3,7547
典,1,2516
淹,1,2516
師,51,128302
魯,6,15094
石,5,12579
推,2,5031
纓,1,2516
險,1,2516
甲,1,2516
翦,1,2516
多,5,12579
陳,5,12579
朱,1,2516
殺,3,7547
斲,1,2516
疆,4,10063
輪,1,2516
公,30,75472
鄫,1,2516
敵,2,5031
大,20,50314
仲,2,5031
侵,7,17610
類,2,5031
禽,3,7547
聞,1,2516
處,1,2516
卿,4,10063
縣,1,2516
藏,1,2516
寢,1,2516
欲,9,22642
寧,3,7547
委,1,2516
今,7,17610
越,1,2516
華,5,12579
中,7,17610
冒,1,2516
興,1,2516
百,5,12579
盧,1,2516
宛,1,2516
績,3,7547
祥,3,7547
兩,1,2516
載,1,2516
殿,1,2516
桑,2,5031
器,5,12579
鮑,1,2516
景,1,2516
人,43,108176
弔,1,2516
圖,1,2516
馬,7,17610
絓,1,2516
敏,1,2516
願,1,2516
元,2,5031
略,1,2516
賦,4,10063
用,6,15094
惠,3,7547
止,8,20126
奔,4,10063
歸,6,15094
幣,3,7547
丘,3,7547
寶,1,2516
奚,1,2516
儕,1,2516
木,1,2516
赦,2,5031
棄,5,12579
孫,14,35220
愛,2,5031
攝,1,2516
舊,2,5031
吏,1,2516
病,5,12579
楯,1,2516
稷,3,7547
職,1,2516
新,5,12579
阿,1,2516
忝,2,5031
靡,1,2516
匹,1,2516
位,7,17610
懼,4,10063
親,4,10063
行,10,25157
貪,2,5031
徇,2,5031
宣,5,12579
貫,1,2516
列,1,2516
召,2,5031
將,21,52830
造,1,2516
奉,1,2516
慝,1,2516
就,1,2516
借,1,2516
傷,2,5031
他,1,2516
適,1,2516
固,4,10063
殉,1,2516
官,1,2516
縱,1,2516
肘,2,5031
退,5,12579
關,1,2516
強,1,2516
士,6,15094
節,1,2516
八,3,7547
曹,2,5031
鎮,1,2516
獻,8,20126
卒,8,20126
釋,1,2516
旅,1,2516
驂,1,2516
乞,2,5031
檜,1,2516
》,1,2516
武,2,5031
范,2,5031
晉,32,80503
宜,3,7547
女,3,7547
棺,1,2516
隕,1,2516
徒,4,10063
圍,1,2516
遠,2,5031
季,3,7547
救,5,12579
濟,3,7547
逢,2,5031
伏,1,2516
因,2,5031
邑,6,15094
炭,1,2516
非,6,15094
布,3,7547
單,1,2516
屨,1,2516
拜,1,2516
良,4,10063
王,33,83019
靈,2,5031
明,4,10063
每,1,2516
氏,1,2516
闕,1,2516
封,2,5031
惑,2,5031
優,3,7547
爰,1,2516
令,5,12579
入,11,27673
遇,4,10063
鞍,2,5031
問,2,5031
共,1,2516
斬,2,5031
為,26,65409
南,3,7547
福,1,2516
車,12,30189
塈,1,2516
屬,3,7547
及,19,47799
勸,2,5031
首,2,5031
數,1,2516
甗,1,2516
呼,1,2516
濮,1,2516
德,5,12579
逆,5,12579
苟,3,7547
樹,1,2516
紝,1,2516
厥,6,15094
敝,7,17610
誨,1,2516
喜,2,5031
對,10,25157
笄,1,2516
前,1,2516
鞫,1,2516
楚,16,40252
肱,1,2516
銳,1,2516
囚,1,2516
外,1,2516
疾,2,5031
蕭,2,5031
戎,5,12579
膊,1,2516
幸,3,7547
本,1,2516
烝,1,2516
聽,4,10063
要,1,2516
枹,1,2516
喪,3,7547
夕,1,2516
折,1,2516
擊,2,5031
重,5,12579
分,1,2516
霸,1,2516
敬,2,5031
桓,3,7547
聘,3,7547
伯,11,27673
老,3,7547
廢,1,2516
巫,7,17610
陷,1,2516
商,1,2516
好,3,7547
予,2,5031
捷,3,7547
主,2,5031
斃,1,2516
繫,1,2516
讎,1,2516
飲,1,2516
蜃,1,2516
淫,5,12579
籍,1,2516
忍,3,7547
絕,1,2516
私,1,2516
朝,4,10063
儀,1,2516
離,1,2516
巢,1,2516
敗,9,22642
耳,2,5031
蓋,1,2516
暱,2,5031
悉,1,2516
政,5,12579
鄭,13,32704
援,1,2516
宴,2,5031
郤,13,32704
槨,1,2516
誓,1,2516
陽,5,12579
詔,1,2516
蠻,2,5031
會,5,12579
跪,1,2516
