Character, Abs. Freq., Rel. Freq.
偪,1,9804
達,1,9804
桓,4,39216
伯,7,68627
罕,1,9804
異,1,9804
陴,1,9804
失,2,19608
遂,3,29412
戒,1,9804
宰,3,29412
帶,2,19608
武,1,9804
府,4,39216
通,1,9804
驟,1,9804
獻,2,19608
老,2,19608
疾,1,9804
許,5,49020
忌,1,9804
納,1,9804
道,1,9804
譖,1,9804
前,1,9804
逃,1,9804
乙,1,9804
視,1,9804
北,1,9804
左,3,29412
利,1,9804
直,1,9804
孫,4,39216
正,1,9804
門,1,9804
我,2,19608
向,5,49020
舍,1,9804
巳,1,9804
犁,1,9804
盟,3,29412
共,3,29412
敵,1,9804
睢,1,9804
晉,9,88235
難,1,9804
河,1,9804
氏,5,49020
裔,1,9804
祀,1,9804
僑,1,9804
」,1,9804
害,1,9804
閉,1,9804
冬,2,19608
見,1,9804
禮,3,29412
訓,1,9804
鍾,2,19608
山,3,29412
新,2,19608
癸,1,9804
庇,1,9804
申,3,29412
楚,10,98039
鄭,6,58824
時,1,9804
免,3,29412
妻,1,9804
同,1,9804
否,1,9804
隧,1,9804
偏,1,9804
樂,1,9804
上,3,29412
：,2,19608
宗,2,19608
葉,2,19608
離,2,19608
反,7,68627
京,2,19608
州,1,9804
歸,3,29412
弱,1,9804
林,1,9804
國,4,39216
每,1,9804
將,5,49020
獲,1,9804
秋,2,19608
臧,2,19608
年,2,19608
為,16,156863
靈,1,9804
少,2,19608
城,2,19608
咎,1,9804
帥,1,9804
？,1,9804
師,15,147059
王,2,19608
吾,2,19608
司,10,98039
奔,6,58824
亡,3,29412
聘,1,9804
公,16,156863
徒,1,9804
右,6,58824
待,1,9804
靖,1,9804
初,1,9804
定,1,9804
魚,10,98039
八,2,19608
節,4,39216
元,10,98039
囊,1,9804
多,1,9804
功,1,9804
戚,2,19608
及,5,49020
無,6,58824
懼,1,9804
背,2,19608
庚,1,9804
執,5,49020
絕,1,9804
固,1,9804
官,2,19608
戴,1,9804
罪,2,19608
戰,1,9804
肥,1,9804
寵,1,9804
叛,1,9804
庸,1,9804
雎,1,9804
人,10,98039
澨,1,9804
臣,1,9804
某,2,19608
「,1,9804
欒,2,19608
寇,4,39216
畏,1,9804
好,1,9804
重,1,9804
入,1,9804
吳,3,29412
治,1,9804
月,9,88235
今,3,29412
憎,1,9804
會,6,58824
邾,2,19608
齊,3,29412
衛,4,39216
鱗,2,19608
惡,1,9804
蕩,3,29412
善,1,9804
天,1,9804
止,5,49020
決,1,9804
暴,1,9804
世,1,9804
伐,1,9804
鰌,1,9804
進,1,9804
士,1,9804
從,2,19608
辰,1,9804
守,3,29412
討,6,58824
主,1,9804
自,4,39216
志,2,19608
卑,1,9804
辭,1,9804
嬰,1,9804
諸,3,29412
郤,2,19608
宋,14,137255
侯,7,68627
盜,1,9804
高,1,9804
馳,2,19608
夏,2,19608
族,4,39216
非,1,9804
父,1,9804
澤,2,19608
朝,1,9804
書,2,19608
請,2,19608
佐,2,19608
喜,2,19608
猶,1,9804
華,13,127451
石,7,68627
速,1,9804
言,3,29412
仲,1,9804
卒,3,29412
丑,2,19608
室,2,19608
殺,5,49020
莊,1,9804
報,1,9804
叔,2,19608
聖,2,19608
韓,2,19608
戌,2,19608
春,2,19608
曹,4,39216
使,4,39216
孰,1,9804
聞,1,9804
馬,2,19608
遷,3,29412
一,2,19608
朱,2,19608
苟,1,9804
賴,1,9804
紀,1,9804
辛,1,9804
燮,1,9804
葬,3,29412
攻,1,9804
身,1,9804
信,2,19608
望,1,9804
成,2,19608
大,6,58824
登,2,19608
立,1,9804
首,1,9804
民,5,49020
地,1,9804
丘,1,9804
君,3,29412
敢,3,29412
欲,2,19608
侵,3,29412
