Character, Abs. Freq., Rel. Freq.
彭,5,48309
稷,2,19324
懼,1,9662
周,1,9662
匪,1,9662
位,1,9662
汪,1,9662
役,3,28986
聿,1,9662
立,1,9662
選,1,9662
孟,4,38647
念,3,28986
禮,8,77295
鬼,2,19324
見,2,19324
遂,3,28986
舅,1,9662
敗,3,28986
執,1,9662
女,1,9662
衛,2,19324
地,1,9662
宜,1,9662
將,2,19324
尼,1,9662
政,1,9662
伐,3,28986
簡,1,9662
說,1,9662
丑,2,19324
問,1,9662
朝,1,9662
縠,3,28986
姑,3,28986
非,1,9662
右,4,38647
還,1,9662
尊,2,19324
共,1,9662
我,3,28986
解,1,9662
討,2,19324
食,1,9662
父,5,48309
粢,1,9662
黜,3,28986
諱,1,9662
堪,1,9662
登,1,9662
魯,1,9662
亂,2,19324
八,2,19324
作,4,38647
賜,1,9662
忌,1,9662
己,1,9662
馳,1,9662
怒,4,38647
窋,1,9662
文,2,19324
厭,1,9662
戈,3,28986
秦,14,135266
敵,1,9662
襄,2,19324
詩,3,28986
轅,1,9662
廢,1,9662
處,3,28986
爰,2,19324
娶,1,9662
猶,2,19324
赫,1,9662
待,1,9662
蒲,1,9662
官,1,9662
人,7,67633
斯,1,9662
雨,1,9662
書,5,48309
生,1,9662
織,1,9662
齊,3,28986
崇,1,9662
垂,2,19324
冬,2,19324
駒,3,28986
頌,1,9662
丁,4,38647
弘,1,9662
器,1,9662
狼,3,28986
諸,3,28986
當,1,9662
宋,4,38647
士,3,28986
帝,3,28986
昏,1,9662
七,1,9662
大,9,86957
順,3,28986
瞫,5,48309
斬,2,19324
衰,1,9662
事,4,38647
孝,2,19324
年,2,19324
陽,1,9662
仁,2,19324
縛,1,9662
用,2,19324
卯,2,19324
皇,3,28986
宗,1,9662
視,1,9662
春,3,28986
績,2,19324
時,1,9662
君,8,77295
中,1,9662
難,1,9662
居,4,38647
為,8,77295
盍,1,9662
秋,3,28986
軫,1,9662
御,2,19324
來,1,9662
遄,1,9662
祖,5,48309
禹,1,9662
拜,1,9662
師,11,106280
知,4,38647
德,4,38647
施,1,9662
會,2,19324
戎,2,19324
囚,3,28986
甲,2,19324
隴,2,19324
志,1,9662
脩,3,28986
怠,1,9662
月,10,96618
躋,3,28986
國,2,19324
民,1,9662
趙,2,19324
姻,1,9662
忒,1,9662
主,2,19324
毋,1,9662
小,2,19324
獲,1,9662
享,1,9662
王,4,38647
公,17,164251
關,1,9662
成,3,28986
禦,1,9662
旅,1,9662
箕,1,9662
從,3,28986
明,9,86957
妾,1,9662
后,3,28986
使,2,19324
親,2,19324
鞫,1,9662
穆,2,19324
敖,1,9662
元,1,9662
戰,4,38647
縱,1,9662
吾,4,38647
仲,3,28986
請,1,9662
衙,5,48309
好,1,9662
堂,1,9662
僖,5,48309
死,4,38647
增,2,19324
賢,1,9662
害,1,9662
納,2,19324
爾,1,9662
歸,1,9662
姊,2,19324
自,1,9662
庶,1,9662
厲,1,9662
辟,1,9662
鄭,4,38647
失,2,19324
湯,1,9662
義,1,9662
奉,1,9662
殽,2,19324
臧,1,9662
幣,2,19324
日,1,9662
恥,1,9662
乙,2,19324
求,1,9662
禽,2,19324
陳,5,48309
夏,3,28986
整,1,9662
續,1,9662
久,1,9662
上,3,28986
達,1,9662
廟,2,19324
卿,1,9662
侯,5,48309
勇,5,48309
盛,1,9662
晉,19,183575
報,2,19324
帥,1,9662
祀,5,48309
屬,1,9662
巳,2,19324
友,2,19324
梁,1,9662
萊,3,28986
沮,1,9662
重,1,9662
妃,1,9662
無,3,28986
言,1,9662
適,1,9662
乘,1,9662
聖,2,19324
空,1,9662
厥,1,9662
新,1,9662
逆,3,28986
契,1,9662
狐,1,9662
軍,1,9662
孔,1,9662
及,8,77295
佐,1,9662
即,1,9662
孫,1,9662
盟,5,48309
展,1,9662
伯,6,57971
甥,1,9662
武,1,9662
呼,1,9662
司,1,9662
虛,1,9662
鯀,1,9662
