Character, Abs. Freq., Rel. Freq.
使,12,125000
家,1,10417
事,3,31250
多,1,10417
爭,1,10417
朝,2,20833
亂,4,41667
游,1,10417
言,1,10417
保,1,10417
侯,8,83333
春,3,31250
復,1,10417
報,1,10417
再,1,10417
乘,1,10417
彊,1,10417
弓,5,52083
宮,1,10417
黑,2,20833
任,1,10417
旗,2,20833
甘,1,10417
盡,1,10417
史,1,10417
告,1,10417
叔,5,52083
專,1,10417
印,3,31250
宣,9,93750
孫,4,41667
舊,2,20833
伉,1,10417
死,5,52083
易,2,20833
上,1,10417
合,1,10417
弟,1,10417
譽,1,10417
終,1,10417
寡,3,31250
主,2,20833
果,1,10417
武,4,41667
女,7,72917
彌,1,10417
宴,1,10417
遽,1,10417
疾,1,10417
首,1,10417
為,7,72917
討,1,10417
君,11,114583
嘉,1,10417
師,1,10417
速,2,20833
郊,2,20833
壬,1,10417
褚,1,10417
諸,3,31250
段,1,10417
繼,2,20833
吏,1,10417
賓,1,10417
信,4,41667
士,1,10417
殺,2,20833
族,1,10417
忘,2,20833
加,1,10417
陳,4,41667
臣,3,31250
晉,14,145833
韓,4,41667
德,3,31250
綿,1,10417
己,2,20833
召,2,20833
罪,6,62500
產,3,31250
姜,5,52083
逆,3,31250
天,2,20833
盟,2,20833
公,9,93750
才,2,20833
心,1,10417
寅,1,10417
辱,3,31250
恤,1,10417
送,3,31250
國,6,62500
一,2,20833
卿,1,10417
中,1,10417
代,1,10417
室,1,10417
傷,1,10417
七,1,10417
宗,1,10417
角,2,20833
敢,5,52083
樹,2,20833
章,2,20833
作,4,41667
尾,2,20833
尸,1,10417
寇,1,10417
及,3,31250
北,1,10417
辭,7,72917
懼,1,10417
淇,1,10417
魯,2,20833
數,1,10417
起,2,20833
刑,2,20833
貪,1,10417
聘,4,41667
昆,1,10417
助,3,31250
卒,3,31250
氏,5,52083
書,1,10417
棠,1,10417
隧,1,10417
無,10,104167
致,3,31250
縊,1,10417
文,2,20833
從,2,20833
少,6,62500
向,2,20833
祿,1,10417
凶,4,41667
宇,4,41667
儷,1,10417
木,2,20833
邑,2,20833
伯,3,31250
堪,3,31250
河,2,20833
館,2,20833
將,5,52083
殖,1,10417
求,1,10417
衢,1,10417
矯,1,10417
聞,2,20833
年,2,20833
成,1,10417
服,1,10417
澳,1,10417
威,1,10417
來,6,62500
歸,1,10417
厭,1,10417
幣,1,10417
好,3,31250
象,1,10417
卑,2,20833
固,1,10417
遂,3,31250
瓜,1,10417
封,1,10417
季,5,52083
請,5,52083
賦,6,62500
笑,1,10417
詩,1,10417
望,1,10417
稽,1,10417
忠,2,20833
敝,2,20833
薰,1,10417
命,3,31250
縫,1,10417
冬,2,20833
政,1,10417
納,1,10417
器,1,10417
王,1,10417
讓,2,20833
誰,1,10417
伐,1,10417
近,2,20833
須,1,10417
班,1,10417
司,1,10417
鄭,3,31250
位,2,20833
頗,1,10417
非,3,31250
弘,1,10417
慎,1,10417
都,1,10417
虐,1,10417
見,6,62500
月,4,41667
夕,2,20833
今,1,10417
宿,3,31250
勞,1,10417
徹,1,10417
欲,2,20833
儀,1,10417
共,2,20833
享,3,31250
鄙,1,10417
大,9,93750
爾,2,20833
知,3,31250
觀,1,10417
衛,2,20833
雅,2,20833
畏,1,10417
拜,3,31250
晏,1,10417
執,3,31250
秋,3,31250
人,4,41667
禮,5,52083
弔,1,10417
寵,1,10417
吾,2,20833
自,1,10417
齊,6,62500
駟,1,10417
夏,2,20833
周,4,41667
敬,1,10417
還,1,10417
節,1,10417
猶,2,20833
