Character, Abs. Freq., Rel. Freq.
羹,1,4625
雨,1,4625
母,1,4625
專,1,4625
州,2,9251
旰,1,4625
篳,1,4625
路,2,9251
信,4,18501
恥,1,4625
因,3,13876
恤,2,9251
君,16,74006
見,1,4625
南,7,32377
並,1,4625
族,2,9251
款,1,4625
食,1,4625
七,1,4625
除,2,9251
蕩,1,4625
國,5,23127
潁,1,4625
季,6,27752
坤,1,4625
左,1,4625
繹,2,9251
極,1,4625
徐,2,9251
淮,1,4625
帥,3,13876
晉,16,74006
行,3,13876
分,3,13876
吳,2,9251
郊,2,9251
殺,7,32377
舊,1,4625
歎,1,4625
闕,1,4625
上,1,4625
止,1,4625
魯,1,4625
皮,2,9251
辭,4,18501
役,2,9251
跪,1,4625
圖,1,4625
成,10,46253
心,3,13876
謀,3,13876
元,4,18501
原,2,9251
生,1,4625
丘,1,4625
遂,6,27752
命,11,50879
嘉,1,4625
民,2,9251
內,2,9251
險,1,4625
從,4,18501
獨,1,4625
入,3,13876
勸,1,4625
攸,1,4625
寐,1,4625
頗,1,4625
虐,1,4625
澠,1,4625
春,2,9251
大,6,27752
典,1,4625
問,4,18501
禍,2,9251
還,1,4625
尹,4,18501
金,1,4625
祭,1,4625
寡,2,9251
諸,7,32377
狩,1,4625
中,12,55504
望,1,4625
愬,1,4625
聞,4,18501
競,1,4625
淺,1,4625
林,1,4625
肥,3,13876
宴,2,9251
右,1,4625
為,16,74006
谿,2,9251
柲,1,4625
怨,1,4625
華,2,9251
周,5,23127
政,1,4625
僕,1,4625
敖,1,4625
康,1,4625
秦,1,4625
士,1,4625
棘,1,4625
揖,1,4625
踰,1,4625
牟,1,4625
燮,1,4625
史,2,9251
兄,1,4625
公,22,101758
示,1,4625
長,1,4625
湫,1,4625
己,1,4625
圃,1,4625
損,1,4625
獻,2,9251
鄭,8,37003
福,1,4625
級,1,4625
賦,3,13876
丙,1,4625
通,1,4625
絞,3,13876
今,6,27752
玉,1,4625
廟,2,9251
室,2,9251
供,1,4625
簡,4,18501
深,1,4625
宋,2,9251
即,1,4625
呂,1,4625
執,2,9251
懷,2,9251
邇,1,4625
宣,1,4625
罪,1,4625
代,1,4625
更,2,9251
鏚,1,4625
潘,1,4625
桃,1,4625
毀,9,41628
舍,1,4625
作,1,4625
綿,1,4625
城,1,4625
家,3,13876
言,2,9251
鞭,2,9251
荀,1,4625
陽,3,13876
猶,2,9251
豹,1,4625
會,2,9251
共,3,13876
尼,1,4625
坻,1,4625
仁,1,4625
獲,1,4625
人,11,50879
高,2,9251
參,1,4625
王,31,143386
處,1,4625
虎,4,18501
革,3,13876
愔,2,9251
忌,1,4625
庾,1,4625
靈,1,4625
治,1,4625
敗,1,4625
良,1,4625
辱,1,4625
寵,2,9251
相,3,13876
視,2,9251
喪,3,13876
舉,1,4625
軍,1,4625
祈,2,9251
雪,1,4625
敢,4,18501
畏,5,23127
貪,1,4625
工,1,4625
衛,3,13876
費,4,18501
招,2,9251
忍,1,4625
八,2,9251
逃,2,9251
彊,2,9251
馬,2,9251
酉,1,4625
蓼,1,4625
受,2,9251
外,2,9251
趨,2,9251
夏,2,9251
沒,2,9251
待,1,4625
我,16,74006
被,2,9251
；,2,9251
剝,1,4625
輿,2,9251
齊,13,60130
偃,2,9251
山,2,9251
蕭,1,4625
美,3,13876
辟,2,9251
喜,1,4625
荅,1,4625
宅,1,4625
熊,3,13876
翠,1,4625
勞,1,4625
車,1,4625
皇,1,4625
申,3,13876
書,2,9251
裳,4,18501
易,1,4625
祖,1,4625
忠,4,18501
滅,1,4625
介,1,4625
嘗,2,9251
投,1,4625
昭,8,37003
師,5,23127
鼎,3,13876
伐,4,18501
囂,1,4625
枚,1,4625
葬,4,18501
仲,9,41628
位,1,4625
祗,1,4625
平,6,27752
貞,1,4625
矢,2,9251
嬖,1,4625
月,8,37003
冠,2,9251
筮,3,13876
荊,1,4625
譖,1,4625
醉,1,4625
藍,1,4625
昆,1,4625
倍,1,4625
弱,1,4625
