Character, Abs. Freq., Rel. Freq.
相,2,18382
降,1,9191
綖,1,9191
度,2,18382
稷,2,18382
孫,3,27574
章,2,18382
百,5,45956
邪,1,9191
伯,5,45956
穆,1,9191
勳,1,9191
討,1,9191
臨,2,18382
古,1,9191
聲,2,18382
黼,1,9191
地,2,18382
來,5,45956
齊,2,18382
聽,2,18382
易,2,18382
馬,2,18382
魯,1,9191
衰,1,9191
天,1,9191
鑿,1,9191
久,1,9191
宣,1,9191
言,1,9191
初,1,9191
席,1,9191
一,1,9191
師,4,36765
父,5,45956
周,1,9191
侯,18,165441
辰,1,9191
戰,2,18382
火,1,9191
滅,1,9191
商,2,18382
邑,1,9191
司,2,18382
各,1,9191
鄭,6,55147
條,1,9191
鞛,1,9191
兆,1,9191
翼,3,27574
政,3,27574
厲,1,9191
沃,3,27574
器,2,18382
月,8,73529
讓,1,9191
孝,2,18382
命,6,55147
建,2,18382
屋,1,9191
親,2,18382
文,2,18382
照,2,18382
桓,2,18382
反,1,9191
懼,4,36765
哀,3,27574
諫,2,18382
士,2,18382
將,2,18382
大,14,128676
寵,1,9191
象,2,18382
史,1,9191
舄,1,9191
立,9,82721
等,1,9191
畝,1,9191
策,1,9191
禮,4,36765
雒,1,9191
武,1,9191
往,2,18382
裳,1,9191
人,5,45956
旂,1,9191
庶,1,9191
殤,3,27574
戎,2,18382
夷,1,9191
令,1,9191
特,1,9191
公,14,128676
戒,1,9191
游,1,9191
會,6,55147
鄧,2,18382
叔,2,18382
致,1,9191
義,3,27574
行,2,18382
爵,1,9191
置,1,9191
殺,2,18382
卿,1,9191
秋,2,18382
數,2,18382
敗,1,9191
吾,1,9191
亂,6,55147
嘉,2,18382
正,2,18382
遂,2,18382
儉,2,18382
告,2,18382
蔡,2,18382
心,1,9191
書,1,9191
粢,1,9191
滕,1,9191
納,2,18382
申,3,27574
袞,1,9191
官,7,64338
曲,3,27574
登,1,9191
側,1,9191
示,2,18382
及,3,27574
晉,5,45956
甚,1,9191
怨,1,9191
本,2,18382
忘,1,9191
家,3,27574
覦,1,9191
率,1,9191
鄙,1,9191
律,1,9191
惠,3,27574
稱,3,27574
欒,1,9191
況,1,9191
生,4,36765
固,1,9191
路,1,9191
敬,2,18382
氏,3,27574
為,4,36765
春,2,18382
動,1,9191
華,1,9191
舊,1,9191
清,1,9191
工,1,9191
南,1,9191
侵,1,9191
陳,2,18382
君,8,73529
發,1,9191
惡,1,9191
纓,1,9191
朝,3,27574
體,1,9191
服,3,27574
宗,2,18382
覬,1,9191
敢,1,9191
盟,2,18382
唐,4,36765
鍚,1,9191
參,1,9191
名,2,18382
昭,11,101103
明,3,27574
上,2,18382
旗,1,9191
潘,1,9191
紞,1,9191
諸,1,9191
妻,1,9191
鞞,1,9191
姜,1,9191
怒,1,9191
賂,6,55147
弒,6,55147
封,1,9191
寘,1,9191
莊,2,18382
冬,2,18382
郜,4,36765
堪,2,18382
羹,1,9191
陘,2,18382
臧,2,18382
庭,2,18382
誅,1,9191
召,1,9191
小,1,9191
自,3,27574
鞶,1,9191
孔,5,45956
賓,1,9191
甸,1,9191
傅,1,9191
王,2,18382
比,1,9191
鼎,5,45956
舍,1,9191
因,1,9191
孰,1,9191
靖,1,9191
鄂,2,18382
督,5,45956
啟,1,9191
幅,1,9191
脩,1,9191
紘,1,9191
鸞,1,9191
異,1,9191
猶,2,18382
謀,1,9191
德,6,55147
今,3,27574
事,3,27574
夏,2,18382
食,1,9191
好,1,9191
末,1,9191
國,4,36765
衡,1,9191
內,1,9191
克,2,18382
戊,3,27574
杞,5,45956
制,1,9191
楚,1,9191
黻,2,18382
七,2,18382
廟,8,73529
茅,1,9191
越,1,9191
室,1,9191
冕,1,9191
失,2,18382
鈴,1,9191
聞,2,18382
耦,2,18382
隸,1,9191
色,1,9191
非,2,18382
帶,1,9191
太,1,9191
兄,1,9191
妃,1,9191
無,2,18382
物,2,18382
年,6,55147
龍,1,9191
紀,2,18382
藻,1,9191
歸,1,9191
飲,1,9191
宰,1,9191
伐,3,27574
入,2,18382
達,1,9191
民,5,45956
宋,8,73529
遷,1,9191
田,1,9191
成,6,55147
違,4,36765
攻,1,9191
役,1,9191
和,1,9191
替,1,9191
弟,4,36765
千,1,9191
珽,1,9191
仇,3,27574
分,1,9191
貳,1,9191
弱,1,9191
塞,1,9191
