Character, Abs. Freq., Rel. Freq.
謀,1,27548
衛,2,55096
諫,1,27548
謁,1,27548
卒,2,55096
八,1,27548
封,1,27548
伐,2,55096
月,7,192837
百,1,27548
朝,1,27548
冬,2,55096
黃,2,55096
亹,1,27548
達,1,27548
朔,2,55096
虞,1,27548
天,1,27548
御,2,55096
盟,5,137741
備,2,55096
七,2,55096
甚,1,27548
人,6,165289
彌,1,27548
父,2,55096
紀,2,55096
告,1,27548
志,1,27548
戰,3,82645
來,1,27548
場,1,27548
平,1,27548
底,1,27548
齊,5,137741
卿,2,55096
弒,1,27548
鄭,1,27548
歸,2,55096
自,2,55096
辛,1,27548
召,1,27548
嘉,1,27548
蔑,1,27548
及,4,110193
儀,2,55096
春,2,55096
將,1,27548
陳,3,82645
趡,2,55096
渠,1,27548
殺,1,27548
伯,2,55096
巳,1,27548
姑,1,27548
高,2,55096
魯,1,27548
丙,3,82645
諸,1,27548
守,1,27548
日,9,247934
己,1,27548
夏,2,55096
吏,1,27548
卯,1,27548
丁,1,27548
立,2,55096
年,2,55096
邾,4,110193
葬,1,27548
尋,1,27548
居,1,27548
惡,3,82645
盡,1,27548
事,3,82645
復,1,27548
正,1,27548
君,1,27548
師,2,55096
初,1,27548
侵,1,27548
失,2,55096
書,1,27548
戮,1,27548
丑,1,27548
會,2,55096
一,1,27548
桓,2,55096
授,1,27548
宋,2,55096
辰,1,27548
秋,2,55096
禮,1,27548
固,1,27548
蔡,10,275482
懼,1,27548
午,2,55096
侯,6,165289
公,9,247934
慎,1,27548
知,1,27548
昭,4,110193
食,2,55096
聽,1,27548
癸,1,27548
疆,4,110193
為,2,55096
奚,2,55096
季,3,82645
官,4,110193
