Character, Abs. Freq., Rel. Freq.
冰,1,54054
申,2,108108
東,1,54054
禮,1,54054
逵,1,54054
入,1,54054
御,2,108108
盧,1,54054
致,1,54054
弟,1,54054
餼,1,54054
冬,2,108108
嘗,2,108108
齊,2,108108
正,1,54054
宮,1,54054
會,3,162162
夏,2,108108
月,4,216216
脩,1,54054
歸,1,54054
伐,3,162162
壬,2,108108
巳,1,54054
卒,1,54054
大,2,108108
侯,2,108108
秋,2,108108
門,2,108108
父,1,54054
及,1,54054
年,2,108108
報,1,54054
乙,2,108108
諸,1,54054
宋,3,162162
使,1,54054
渠,1,54054
尋,1,54054
戰,1,54054
亥,2,108108
人,8,432432
衛,1,54054
害,1,54054
蔡,1,54054
公,1,54054
語,1,54054
丁,1,54054
盟,2,108108
廩,2,108108
祿,1,54054
郊,1,54054
陳,1,54054
伯,2,108108
焚,1,54054
災,2,108108
首,1,54054
牛,1,54054
八,2,108108
鄭,5,270270
來,2,108108
無,1,54054
春,2,108108
書,1,54054
曹,4,216216
為,1,54054
椽,2,108108
