Character, Abs. Freq., Rel. Freq.
入,1,60606
昏,1,60606
年,2,121212
侵,3,181818
王,1,60606
春,2,121212
日,3,181818
火,1,60606
栽,1,60606
無,1,60606
用,1,60606
月,2,121212
卒,1,60606
輕,1,60606
水,1,60606
新,2,121212
防,2,121212
中,2,121212
龍,1,60606
災,2,121212
正,1,60606
致,1,60606
土,1,60606
叛,1,60606
功,1,60606
廄,2,121212
鄭,2,121212
鼓,1,60606
姬,1,60606
務,1,60606
冬,2,121212
鐘,1,60606
戒,1,60606
為,2,121212
畢,2,121212
物,1,60606
延,2,121212
伐,1,60606
夏,2,121212
作,1,60606
馬,1,60606
蜚,2,121212
書,3,181818
秋,2,121212
叔,1,60606
城,2,121212
時,2,121212
及,2,121212
紀,1,60606
師,1,60606
皮,1,60606
許,2,121212
諸,2,121212
事,1,60606
人,2,121212
襲,1,60606
樊,1,60606
見,2,121212
