Character, Abs. Freq., Rel. Freq.
宜,1,12484
曹,1,12484
德,1,12484
少,1,12484
行,1,12484
亡,2,24969
弒,1,12484
后,1,12484
忌,2,24969
宋,1,12484
禮,3,37453
蘇,1,12484
無,4,49938
陳,7,87391
安,1,12484
止,1,12484
人,4,49938
靖,1,12484
爾,2,24969
將,2,24969
知,2,24969
筮,1,12484
師,1,12484
城,3,37453
拜,1,12484
尋,1,12484
趨,1,12484
遺,3,37453
穆,4,49938
韓,2,24969
成,1,12484
使,6,74906
螽,1,12484
曲,1,12484
郊,6,74906
農,1,12484
執,2,24969
伯,3,37453
恤,1,12484
駟,2,24969
退,1,12484
立,4,49938
從,5,62422
辭,3,37453
頑,1,12484
相,2,24969
嘗,1,12484
群,1,12484
逃,2,24969
神,2,24969
宰,1,12484
庚,1,12484
親,1,12484
媚,1,12484
民,2,24969
緩,1,12484
卜,4,49938
宣,1,12484
林,2,24969
公,15,187266
正,5,62422
登,2,24969
掌,1,12484
老,2,24969
往,1,12484
生,1,12484
自,1,12484
社,1,12484
患,1,12484
會,6,74906
僖,2,24969
歸,2,24969
寅,1,12484
啟,1,12484
父,2,24969
直,3,37453
善,1,12484
寡,3,37453
欲,2,24969
遂,1,12484
祈,1,12484
丙,1,12484
鄵,2,24969
孫,8,99875
秋,2,24969
殺,1,12484
本,1,12484
仲,1,12484
冬,2,24969
詩,3,37453
聽,3,37453
宗,1,12484
好,2,24969
盟,2,24969
虎,1,12484
鄭,2,24969
介,2,24969
今,3,37453
侯,11,137328
囊,1,12484
事,1,12484
牲,2,24969
非,1,12484
帥,1,12484
貞,1,12484
救,1,12484
豈,1,12484
庶,1,12484
請,2,24969
元,1,12484
免,2,24969
壬,1,12484
夜,2,24969
報,2,24969
適,2,24969
黃,2,24969
及,4,49938
求,1,12484
叔,4,49938
費,4,49938
圍,2,24969
游,1,12484
位,1,12484
簡,1,12484
氏,2,24969
景,1,12484
廢,2,24969
邾,3,37453
躬,1,12484
委,3,37453
食,1,12484
蛇,3,37453
八,1,12484
隧,1,12484
忍,1,12484
愬,1,12484
廟,1,12484
大,2,24969
楚,7,87391
族,2,24969
仁,3,37453
莒,1,12484
獻,2,24969
晉,6,74906
懼,1,12484
耕,2,24969
衡,1,12484
慶,3,37453
豐,2,24969
夏,2,24969
武,2,24969
宿,1,12484
孟,1,12484
降,1,12484
戌,3,37453
諸,4,49938
月,6,74906
文,1,12484
參,1,12484
諫,2,24969
言,1,12484
赴,1,12484
年,5,62422
共,1,12484
瘧,1,12484
春,2,24969
卒,1,12484
南,2,24969
君,6,74906
為,8,99875
朝,8,99875
衛,6,74906
信,1,12484
侍,1,12484
折,1,12484
疾,2,24969
多,2,24969
蟄,1,12484
和,1,12484
七,2,24969
髡,1,12484
告,2,24969
臣,2,24969
祀,1,12484
見,1,12484
福,2,24969
役,1,12484
鄬,3,37453
昭,1,12484
容,1,12484
圖,1,12484
讓,1,12484
桓,1,12484
田,1,12484
才,1,12484
起,1,12484
罕,2,24969
奉,1,12484
郯,2,24969
露,1,12484
來,7,87391
吾,5,62422
夙,1,12484
賊,1,12484
季,4,49938
悛,2,24969
貳,1,12484
小,2,24969
稷,2,24969
進,1,12484
聘,3,37453
