Character, Abs. Freq., Rel. Freq.
抑,1,3280
知,5,16399
馹,1,3280
侈,1,3280
逃,1,3280
喜,4,13119
武,10,32798
助,2,6560
虞,1,3280
信,15,49196
貺,1,3280
縱,1,3280
郭,4,13119
處,1,3280
光,1,3280
觀,1,3280
偏,1,3280
蕩,1,3280
死,10,32798
辱,1,3280
蟀,1,3280
一,4,13119
常,1,3280
歆,1,3280
半,1,3280
定,1,3280
蒲,3,9839
氛,1,3280
降,1,3280
仕,3,9839
世,1,3280
酉,1,3280
昭,2,6560
殘,1,3280
盈,1,3280
君,14,45917
只,1,3280
固,6,19679
尚,1,3280
烏,3,9839
僭,1,3280
示,1,3280
稱,2,6560
隴,1,3280
城,1,3280
罪,3,9839
存,3,9839
食,4,13119
師,7,22958
穀,1,3280
入,2,6560
大,19,62316
守,2,6560
弟,1,3280
邑,10,32798
女,1,3280
門,4,13119
廢,5,16399
上,4,13119
單,1,3280
建,1,3280
己,1,3280
執,1,3280
肱,1,3280
謁,1,3280
僕,1,3280
鮮,2,6560
段,2,6560
服,4,13119
衣,1,3280
具,2,6560
匪,2,6560
受,6,19679
荒,1,3280
遂,6,19679
邾,4,13119
朔,3,9839
細,1,3280
木,14,45917
州,1,3280
奐,2,6560
惡,6,19679
靖,1,3280
令,2,6560
發,1,3280
設,1,3280
興,2,6560
將,16,52476
安,3,9839
隱,1,3280
愬,1,3280
財,1,3280
尸,4,13119
私,1,3280
乙,3,9839
捷,1,3280
月,7,22958
誣,3,9839
免,5,16399
尼,1,3280
侯,21,68875
戮,1,3280
敢,4,13119
備,1,3280
西,3,9839
敝,1,3280
侍,1,3280
蔓,1,3280
情,1,3280
藩,1,3280
無,16,52476
交,2,6560
圖,1,3280
樂,3,9839
孤,1,3280
霄,2,6560
百,1,3280
司,4,13119
恤,1,3280
嫳,4,13119
老,1,3280
用,4,13119
違,1,3280
難,4,13119
致,2,6560
東,4,13119
天,2,6560
投,1,3280
讎,1,3280
鼠,1,3280
言,16,52476
失,3,9839
章,3,9839
福,3,9839
叔,19,62316
敖,1,3280
盡,2,6560
薄,1,3280
桑,2,6560
他,2,6560
寺,1,3280
保,2,6560
軌,1,3280
我,13,42637
王,5,16399
黑,1,3280
家,5,16399
宰,2,6560
數,1,3280
惠,1,3280
謀,2,6560
蔽,1,3280
聘,2,6560
季,2,6560
歸,8,26238
濟,1,3280
地,2,6560
滕,4,13119
日,3,9839
產,2,6560
扈,1,3280
辭,6,19679
斃,1,3280
佐,1,3280
坐,1,3280
列,1,3280
笫,1,3280
春,2,6560
弭,4,13119
各,1,3280
辛,3,9839
政,2,6560
庸,1,3280
相,4,13119
止,5,16399
韓,1,3280
務,1,3280
蔡,2,6560
閾,1,3280
甯,7,22958
滅,2,6560
莊,1,3280
帥,1,3280
況,1,3280
語,2,6560
當,3,9839
罰,1,3280
生,7,22958
股,1,3280
見,3,9839
范,1,3280
書,2,6560
奔,4,13119
鬼,1,3280
：,2,6560
狎,1,3280
視,2,6560
兵,9,29518
兄,1,3280
猶,3,9839
睦,1,3280
印,2,6560
縊,2,6560
弱,1,3280
問,1,3280
苗,1,3280
偽,1,3280
?,3,9839
須,1,3280
宣,1,3280
納,1,3280
稅,1,3280
冬,2,6560
速,1,3280
禮,2,6560
楚,33,108232
喪,3,9839
車,5,16399
鶉,1,3280
介,1,3280
皙,1,3280
文,8,26238
悼,1,3280
非,4,13119
攻,5,16399
衷,2,6560
踰,1,3280
善,4,13119
請,13,42637
收,1,3280
秋,2,6560
神,2,6560
罕,2,6560
詩,1,3280
蒙,1,3280
榮,1,3280
並,1,3280
蠹,1,3280
史,1,3280
菑,1,3280
苟,2,6560
材,1,3280
