Character, Abs. Freq., Rel. Freq.
禽,1,7168
罪,2,14337
師,13,93190
文,2,14337
小,1,7168
聘,3,21505
坐,1,7168
致,1,7168
功,2,14337
鼓,2,14337
患,1,7168
欲,2,14337
送,2,14337
抽,1,7168
奔,2,14337
問,4,28674
棘,2,14337
弟,1,7168
祀,1,7168
帝,1,7168
佐,1,7168
再,1,7168
產,1,7168
祿,2,14337
賄,4,28674
儀,2,14337
身,1,7168
無,15,107527
帥,4,28674
生,2,14337
巳,1,7168
上,4,28674
廢,1,7168
黨,1,7168
路,1,7168
族,1,7168
從,2,14337
保,1,7168
幄,1,7168
我,3,21505
乞,1,7168
杞,1,7168
鄭,14,100358
客,1,7168
公,7,50179
啟,3,21505
知,2,14337
京,1,7168
階,3,21505
謀,1,7168
慶,1,7168
德,7,50179
國,10,71685
蒐,1,7168
秋,2,14337
同,1,7168
恕,1,7168
》,1,7168
聚,1,7168
超,1,7168
齒,1,7168
庸,1,7168
詩,1,7168
邾,2,14337
周,2,14337
孫,6,43011
宜,2,14337
釁,1,7168
春,2,14337
「,1,7168
嬖,1,7168
爾,1,7168
外,1,7168
孝,1,7168
荒,1,7168
衛,1,7168
惑,2,14337
說,1,7168
宣,6,43011
廣,1,7168
程,3,21505
邇,1,7168
伯,8,57348
對,4,28674
叛,3,21505
焚,1,7168
復,3,21505
敢,2,14337
為,11,78853
櫜,1,7168
躒,1,7168
憂,1,7168
商,1,7168
馳,1,7168
行,4,28674
齊,11,78853
立,4,28674
心,1,7168
逆,2,14337
崔,2,14337
曹,1,7168
日,2,14337
禮,1,7168
敝,1,7168
輔,1,7168
敬,1,7168
免,1,7168
賜,1,7168
遠,1,7168
西,2,14337
樂,3,21505
盟,3,21505
重,3,21505
世,2,14337
書,1,7168
骼,1,7168
兄,1,7168
明,3,21505
賴,1,7168
安,1,7168
鍼,2,14337
室,1,7168
東,1,7168
柏,1,7168
幣,4,28674
使,9,64516
尹,1,7168
見,1,7168
侯,14,100358
七,1,7168
辭,3,21505
門,2,14337
實,2,14337
入,2,14337
饑,1,7168
沒,3,21505
壘,1,7168
貴,1,7168
壞,3,21505
冑,2,14337
邦,1,7168
壽,1,7168
討,1,7168
用,1,7168
虐,1,7168
戢,1,7168
澤,2,14337
君,3,21505
古,1,7168
政,2,14337
陵,1,7168
薛,1,7168
張,1,7168
莒,3,21505
犬,2,14337
毋,1,7168
長,1,7168
昔,1,7168
舒,3,21505
絕,1,7168
死,3,21505
收,1,7168
沈,1,7168
根,1,7168
仲,2,14337
寓,1,7168
登,1,7168
曩,1,7168
救,2,14337
八,1,7168
社,1,7168
甲,1,7168
邑,1,7168
言,3,21505
自,3,21505
受,3,21505
觀,1,7168
志,1,7168
久,2,14337
遂,1,7168
女,1,7168
鳩,3,21505
朝,1,7168
乘,5,35842
投,1,7168
非,2,14337
務,1,7168
難,1,7168
年,2,14337
人,14,100358
名,4,28674
穆,4,28674
冬,2,14337
賀,1,7168
龍,1,7168
嘉,1,7168
期,1,7168
只,1,7168
祖,1,7168
卒,2,14337
守,1,7168
部,1,7168
《,1,7168
首,2,14337
夷,2,14337
車,2,14337
蔡,1,7168
祁,1,7168
虞,1,7168
稽,2,14337
薳,4,28674
寧,1,7168
令,6,43011
輕,1,7168
讓,1,7168
戒,1,7168
將,9,64516
輿,1,7168
疾,1,7168
羽,1,7168
象,1,7168
唐,2,14337
役,1,7168
挾,1,7168
孟,1,7168
松,1,7168
陶,1,7168
大,10,71685
兵,1,7168
范,3,21505
諸,6,43011
會,3,21505
咎,2,14337
近,1,7168
思,2,14337
笑,1,7168
晉,16,114695
請,5,35842
郟,1,7168
相,1,7168
伐,12,86022
主,1,7168
軍,3,21505
杼,2,14337
及,1,7168
夏,4,28674
亡,2,14337
民,1,7168
召,1,7168
御,3,21505
吉,1,7168
姓,1,7168
亟,1,7168
轉,2,14337
彊,3,21505
貳,6,43011
語,1,7168
歸,2,14337
魯,1,7168
氏,7,50179
陳,8,57348
羯,1,7168
婁,1,7168
搏,1,7168
朔,2,14337
城,2,14337
豕,1,7168
吾,3,21505
許,1,7168
楚,15,107527
食,4,28674
浦,1,7168
宛,1,7168
載,1,7168
降,3,21505
病,1,7168
云,1,7168
男,1,7168
」,1,7168
基,3,21505
今,1,7168
待,2,14337
侵,3,21505
犁,1,7168
宇,2,14337
怯,1,7168
：,1,7168
懼,3,21505
猶,1,7168
還,4,28674
韋,1,7168
臨,1,7168
恃,1,7168
囚,1,7168
祊,1,7168
豹,4,28674
丐,1,7168
吳,3,21505
琴,2,14337
宋,1,7168
寡,2,14337
癸,1,7168
介,2,14337
宗,1,7168
聞,7,50179
踞,2,14337
告,4,28674
息,1,7168
弓,1,7168
舟,2,14337
朽,4,28674
月,3,21505
滕,1,7168
卜,1,7168
克,1,7168
姑,1,7168
杜,1,7168
水,2,14337
臧,1,7168
命,1,7168
射,3,21505
鄰,1,7168
僑,2,14337
王,2,14337
家,4,28674
揮,1,7168
求,3,21505
浚,1,7168
寇,1,7168
叔,8,57348
一,1,7168
