Character, Abs. Freq., Rel. Freq.
蘭,2,96154
變,2,96154
丙,2,96154
宋,2,96154
狄,2,96154
伐,2,96154
齊,2,96154
公,2,96154
赤,2,96154
師,2,96154
夏,2,96154
卜,2,96154
秋,2,96154
年,2,96154
戌,2,96154
伯,2,96154
自,2,96154
猶,2,96154
傷,4,192308
牛,8,384615
王,4,192308
正,2,96154
侵,4,192308
郊,4,192308
戎,2,96154
鄭,6,288462
事,2,96154
望,2,96154
曹,2,96154
匡,2,96154
陸,2,96154
葬,4,192308
楚,4,192308
改,2,96154
口,4,192308
作,2,96154
亡,2,96154
冬,2,96154
渾,2,96154
死,2,96154
卒,2,96154
春,2,96154
人,4,192308
圍,2,96154
辭,4,192308
穆,2,96154
月,4,192308
緩,2,96154
