Character, Abs. Freq., Rel. Freq.
朝,2,33333
年,2,33333
著,2,33333
稱,2,33333
胥,2,33333
陳,8,133333
會,6,100000
屏,2,33333
衛,4,66667
數,2,33333
季,2,33333
授,2,33333
父,4,66667
挈,2,33333
女,2,33333
月,6,100000
氏,2,33333
來,2,33333
邾,2,33333
人,10,166667
侯,8,133333
善,2,33333
致,2,33333
夏,2,33333
宋,8,133333
伐,8,133333
大,6,100000
事,4,66667
春,2,33333
師,8,133333
齊,14,233333
喪,2,33333
猶,2,33333
諸,2,33333
婦,4,66667
即,4,66667
救,6,100000
列,2,33333
正,2,33333
繼,4,66667
聞,2,33333
州,2,33333
略,2,33333
為,2,33333
棐,4,66667
盾,6,100000
王,2,33333
姑,2,33333
言,10,166667
遂,12,200000
孫,2,33333
賂,2,33333
鄭,10,166667
楚,2,33333
國,2,33333
無,2,33333
曹,2,33333
晉,12,200000
罪,2,33333
內,2,33333
林,4,66667
自,2,33333
平,2,33333
姜,2,33333
地,4,66667
公,10,166667
疑,2,33333
趙,8,133333
放,8,133333
崇,2,33333
甲,2,33333
辭,4,66667
侵,6,100000
行,2,33333
田,2,33333
元,2,33333
西,2,33333
畢,2,33333
伯,2,33333
上,2,33333
從,2,33333
緣,2,33333
穿,2,33333
美,2,33333
秋,2,33333
位,4,66667
逆,2,33333
濟,2,33333
冬,2,33333
帥,4,66667
？,4,66667
