Character, Abs. Freq., Rel. Freq.
春,2,33223
龠,2,33223
猶,4,66445
城,2,33223
會,2,33223
宣,4,66445
緩,2,33223
七,2,33223
聞,2,33223
頃,2,33223
變,2,33223
月,6,99668
己,2,33223
遂,4,66445
夏,2,33223
祭,2,33223
平,2,33223
我,2,33223
專,2,33223
用,2,33223
黃,2,33223
甲,2,33223
秋,2,33223
禮,2,33223
熊,4,66445
中,2,33223
雨,6,99668
復,4,66445
年,2,33223
冬,2,33223
卒,12,199336
廟,2,33223
亡,2,33223
制,2,33223
旦,2,33223
食,2,33223
八,2,33223
仲,4,66445
白,2,33223
辭,8,132890
君,2,33223
畢,2,33223
無,2,33223
伐,4,66445
小,2,33223
命,4,66445
見,2,33223
陽,2,33223
反,2,33223
大,4,66445
樂,2,33223
譏,6,99668
辛,2,33223
喪,4,66445
公,8,132890
克,6,99668
戊,2,33223
師,4,66445
自,2,33223
事,6,99668
滅,2,33223
巳,2,33223
晉,2,33223
舒,2,33223
葬,10,166113
薨,2,33223
楚,4,66445
賓,2,33223
日,10,166113
繹,4,66445
丑,2,33223
寅,2,33223
為,8,132890
壬,2,33223
？,8,132890
庚,2,33223
萬,2,33223
入,2,33223
享,2,33223
秦,2,33223
狄,2,33223
止,2,33223
鄝,2,33223
疏,6,99668
齊,2,33223
氏,2,33223
午,2,33223
陳,2,33223
人,6,99668
垂,2,33223
