Character, Abs. Freq., Rel. Freq.
召,6,78329
績,2,26110
伯,24,313316
為,6,78329
對,2,26110
年,2,26110
群,4,52219
嫁,2,26110
吾,2,26110
水,2,26110
曹,2,26110
月,6,78329
「,18,234987
輦,10,130548
河,8,104439
公,4,52219
右,2,26110
僑,2,26110
齊,2,26110
反,2,26110
祠,4,52219
蟲,2,26110
蔑,2,26110
遇,2,26110
大,2,26110
酉,2,26110
攘,2,26110
縞,4,52219
書,2,26110
問,8,104439
忠,2,26110
孫,4,52219
王,4,52219
孔,2,26110
道,6,78329
秋,2,26110
親,4,52219
春,2,26110
日,8,104439
壅,8,104439
使,2,26110
牢,2,26110
尊,18,234987
崩,16,208877
杞,4,52219
晉,6,78329
侯,6,78329
婦,2,26110
聞,4,52219
鄭,2,26110
叔,4,52219
一,2,26110
來,6,78329
山,10,130548
義,2,26110
會,4,52219
盟,2,26110
冬,2,26110
遏,6,78329
谷,2,26110
己,4,52219
天,10,130548
姬,2,26110
車,4,52219
？,12,156658
哭,4,52219
仲,2,26110
邾,2,26110
善,2,26110
素,4,52219
丑,2,26110
君,8,104439
無,2,26110
臣,4,52219
鞭,4,52219
歸,6,78329
宋,4,52219
荀,2,26110
斯,4,52219
首,2,26110
流,10,130548
奈,4,52219
梁,8,104439
高,2,26110
」,18,234987
！,2,26110
遠,2,26110
帥,4,52219
：,20,261097
我,4,52219
正,2,26110
同,2,26110
夏,2,26110
衛,2,26110
人,2,26110
辟,2,26110
