Character, Abs. Freq., Rel. Freq.
周,2,53191
割,2,53191
朔,2,53191
道,2,53191
親,4,106383
蘧,2,53191
人,2,53191
壞,8,212766
舂,2,53191
伯,4,106383
自,6,159574
己,2,53191
狄,2,53191
極,2,53191
棐,2,53191
大,10,265957
王,2,53191
社,2,53191
七,2,53191
世,2,53191
壬,2,53191
盟,2,53191
君,4,106383
侵,2,53191
稷,2,53191
為,2,53191
年,2,53191
沓,2,53191
午,2,53191
冬,2,53191
邾,2,53191
主,2,53191
月,10,265957
敬,4,106383
陳,2,53191
會,4,106383
；,4,106383
春,2,53191
丑,2,53191
秋,2,53191
侯,6,159574
還,4,106383
雨,2,53191
事,6,159574
猶,2,53191
群,2,53191
宮,2,53191
禮,2,53191
及,2,53191
鄭,2,53191
廟,6,159574
公,12,319149
志,2,53191
宗,2,53191
畢,4,106383
衛,4,106383
夏,2,53191
譏,2,53191
卒,4,106383
篨,2,53191
修,2,53191
屋,4,106383
禽,2,53191
晉,8,212766
正,4,106383
室,10,265957
稱,2,53191
