Character, Abs. Freq., Rel. Freq.
晉,4,137931
春,2,68966
薛,4,137931
肱,4,137931
奔,4,137931
邾,4,137931
正,2,68966
乾,4,137931
君,2,68966
適,2,68966
王,2,68966
夏,2,68966
公,8,275862
叛,2,68966
月,6,206897
黑,4,137931
「,2,68966
年,2,68966
食,2,68966
荀,4,137931
來,4,137931
一,2,68966
孫,2,68966
獻,2,68966
天,2,68966
使,2,68966
」,2,68966
朔,2,68966
魯,2,68966
封,2,68966
谷,2,68966
意,4,137931
唁,4,137931
辛,2,68966
非,2,68966
內,2,68966
歷,2,68966
日,2,68966
別,2,68966
巳,2,68966
為,2,68966
濫,4,137931
丁,2,68966
葬,2,68966
？,4,137931
：,2,68966
入,2,68966
伯,2,68966
侯,6,206897
亥,2,68966
季,2,68966
言,8,275862
卒,2,68966
會,2,68966
冬,2,68966
櫟,4,137931
秋,2,68966
