Character, Abs. Freq., Rel. Freq.
野,2,40816
父,2,40816
佐,2,40816
鄭,2,40816
喜,2,40816
穴,2,40816
易,4,81633
侯,4,81633
繼,2,40816
內,2,40816
黃,2,40816
樂,2,40816
：,2,40816
猶,2,40816
倪,2,40816
巢,4,81633
來,6,122449
婼,4,81633
北,2,40816
宋,6,122449
亥,4,81633
宮,2,40816
諱,2,40816
春,2,40816
中,4,81633
雩,4,81633
入,2,40816
吊,2,40816
心,2,40816
州,2,40816
季,4,81633
齊,6,122449
薛,2,40816
上,2,40816
游,2,40816
吉,2,40816
衛,2,40816
鞅,2,40816
國,4,81633
人,10,204082
奔,2,40816
止,2,40816
小,2,40816
大,4,81633
趙,2,40816
井,2,40816
秋,2,40816
曹,2,40816
鴝,4,81633
月,10,204082
冬,2,40816
曲,2,40816
亡,2,40816
孫,10,204082
滕,2,40816
晉,2,40816
卒,4,81633
言,6,122449
己,2,40816
邡,2,40816
乙,2,40816
夏,2,40816
辛,4,81633
一,6,122449
魯,2,40816
辭,6,122449
公,12,244898
增,2,40816
為,4,81633
七,2,40816
鄆,2,40816
辰,2,40816
失,2,40816
邾,4,81633
鵒,4,81633
會,2,40816
年,2,40816
叔,6,122449
陽,2,40816
唁,6,122449
戊,2,40816
棘,2,40816
