Character, Abs. Freq., Rel. Freq.
夏,2,49020
宋,2,49020
莒,2,49020
言,6,147059
見,2,49020
氏,2,49020
道,4,98039
毛,2,49020
居,8,196078
州,2,49020
冬,2,49020
邾,2,49020
春,2,49020
公,24,588235
月,8,196078
義,4,98039
齊,12,294118
無,2,49020
朝,2,49020
鄆,6,147059
遠,2,49020
非,4,98039
葬,2,49020
秋,2,49020
自,12,294118
卒,2,49020
侯,4,98039
陽,2,49020
奔,6,147059
年,2,49020
申,2,49020
杞,2,49020
國,2,49020
王,6,147059
正,2,49020
召,2,49020
圍,6,147059
盟,2,49020
入,4,98039
外,8,196078
伯,6,147059
鄟,2,49020
庚,2,49020
陵,2,49020
周,4,98039
大,2,49020
楚,4,98039
會,6,147059
成,4,98039
天,2,49020
直,2,49020
尹,2,49020
？,2,49020
元,2,49020
