Character, Abs. Freq., Rel. Freq.
致,2,21930
遠,2,21930
冬,2,21930
內,8,87719
時,2,21930
中,2,21930
字,2,21930
諱,2,21930
宋,12,131579
討,4,43860
謹,2,21930
國,2,21930
欲,2,21930
受,4,43860
禮,2,21930
齊,4,43860
夏,2,21930
道,2,21930
？,12,131579
納,2,21930
正,4,43860
蓋,2,21930
惡,4,43860
知,4,43860
爾,4,43860
侯,12,131579
謚,2,21930
大,6,65789
尊,2,21930
志,4,43860
人,6,65789
為,14,153509
祖,4,43860
卑,2,21930
辭,2,21930
春,4,43860
義,2,21930
稷,2,21930
死,8,87719
成,12,131579
會,6,65789
鄭,6,65789
閒,2,21930
蔡,2,21930
滕,2,21930
督,4,43860
殺,4,43860
》,2,21930
月,14,153509
王,6,65789
唐,4,43860
從,4,43860
稱,6,65789
父,16,175439
公,10,109649
亂,8,87719
忍,4,43860
君,14,153509
事,6,65789
陳,4,43860
朝,8,87719
恐,2,21930
氏,2,21930
日,2,21930
遺,2,21930
太,2,21930
名,8,87719
物,2,21930
夷,4,43860
加,2,21930
《,2,21930
伯,6,65789
杞,2,21930
郜,8,87719
非,2,21930
年,2,21930
主,2,21930
戊,4,43860
我,2,21930
周,2,21930
即,2,21930
入,4,43860
及,8,87719
戎,2,21930
臣,2,21930
己,2,21930
卒,2,21930
來,4,43860
賂,4,43860
申,4,43860
盟,2,21930
數,2,21930
桓,8,87719
退,2,21930
孔,18,197368
自,2,21930
紀,2,21930
弒,8,87719
書,2,21930
鼎,8,87719
累,2,21930
外,4,43860
秋,4,43860
無,6,65789
七,2,21930
廟,2,21930
：,4,43860
鄧,2,21930
立,2,21930
