Character, Abs. Freq., Rel. Freq.
公,14,358974
世,2,51282
事,2,51282
名,2,51282
忽,6,153846
七,2,51282
吾,2,51282
國,2,51282
黜,2,51282
正,4,102564
君,2,51282
衛,4,102564
惡,6,153846
生,2,51282
奔,2,51282
辭,2,51282
寤,2,51282
道,2,51282
歸,4,102564
死,2,51282
大,2,51282
蔡,2,51282
失,2,51282
貶,2,51282
？,4,102564
執,2,51282
冬,2,51282
莊,2,51282
會,6,153846
鄭,14,358974
賤,2,51282
一,2,51282
葬,2,51282
齊,2,51282
易,4,102564
伯,2,51282
陳,2,51282
立,2,51282
命,2,51282
突,4,102564
宋,12,307692
難,2,51282
臣,2,51282
癸,2,51282
仲,8,205128
夏,2,51282
叔,2,51282
祭,8,205128
今,2,51282
柔,4,102564
侯,2,51282
鐘,2,51282
曹,2,51282
折,2,51282
盟,4,102564
人,12,307692
闞,2,51282
秋,2,51282
年,2,51282
卒,2,51282
月,10,256410
權,2,51282
春,2,51282
