Character, Abs. Freq., Rel. Freq.
無,2,25063
密,2,25063
名,2,25063
行,6,75188
人,12,150376
寅,2,25063
鍛,2,25063
桓,8,100251
葬,2,25063
親,4,50125
雉,2,25063
覿,4,50125
公,10,125313
諸,8,100251
幣,4,50125
非,14,175439
丁,2,25063
列,2,25063
加,4,50125
秋,2,25063
氏,2,25063
贄,4,50125
歸,6,75188
赤,4,50125
事,2,25063
春,2,25063
數,2,25063
惡,6,75188
廟,8,100251
見,8,100251
崇,2,25063
戊,2,25063
修,2,25063
女,2,25063
莊,4,50125
禮,10,125313
士,2,25063
謹,2,25063
天,2,25063
婦,8,100251
侵,2,25063
棗,2,25063
捨,4,50125
雁,2,25063
大,10,125313
王,2,25063
日,4,50125
丹,2,25063
月,4,50125
志,4,50125
及,2,25063
弟,2,25063
本,2,25063
宗,10,125313
用,10,125313
刻,6,75188
仇,2,25063
男,2,25063
自,2,25063
姜,2,25063
宜,2,25063
奔,2,25063
飾,2,25063
齊,6,75188
羈,2,25063
侯,4,50125
入,8,100251
丑,2,25063
為,2,25063
栗,2,25063
水,2,25063
斥,2,25063
郭,4,50125
羔,2,25063
義,4,50125
夏,2,25063
年,2,25063
？,8,100251
內,2,25063
楹,2,25063
娶,2,25063
八,2,25063
斫,8,100251
陳,2,25063
迎,6,75188
薦,2,25063
腒,2,25063
宮,8,100251
國,2,25063
曹,8,100251
櫳,4,50125
道,4,50125
外,4,50125
言,4,50125
桷,10,125313
蓋,2,25063
石,2,25063
逆,2,25063
恆,2,25063
受,10,125313
正,14,175439
戎,2,25063
體,2,25063
冬,2,25063
前,2,25063
