Character, Abs. Freq., Rel. Freq.
光,4,89686
曹,4,89686
齊,4,89686
秋,2,44843
楚,4,89686
貞,2,44843
殺,2,44843
師,2,44843
卒,2,44843
主,2,44843
辭,2,44843
鄭,6,134529
戍,2,44843
會,8,179372
滕,4,89686
言,4,89686
聘,2,44843
年,2,44843
來,2,44843
戚,2,44843
邾,4,89686
冬,2,44843
從,4,89686
春,2,44843
號,2,44843
外,2,44843
使,2,44843
莒,4,89686
侯,10,224215
衛,6,134529
為,2,44843
孫,8,179372
叔,2,44843
我,2,44843
夏,2,44843
中,2,44843
繒,4,89686
父,4,89686
國,2,44843
陳,12,269058
世,6,134529
雩,2,44843
吳,6,134529
豹,2,44843
伐,2,44843
稻,4,89686
大,4,89686
季,2,44843
宋,4,89686
月,2,44843
伯,14,313901
人,6,134529
壬,2,44843
事,2,44843
往,2,44843
發,2,44843
公,20,448430
辛,2,44843
行,2,44843
善,6,134529
仲,2,44843
自,6,134529
伊,2,44843
薛,4,89686
內,2,44843
晉,8,179372
蔑,2,44843
名,2,44843
帥,2,44843
救,6,134529
緩,2,44843
巫,2,44843
林,2,44843
