Character, Abs. Freq., Rel. Freq.
朝,2,68027
城,4,136054
韓,2,68027
衛,4,136054
公,6,204082
帥,4,136054
冬,2,68027
王,4,136054
圍,2,68027
人,16,544218
孫,6,204082
位,4,136054
彭,4,136054
仲,4,136054
秋,2,68027
壬,2,68027
即,4,136054
鄫,2,68027
殖,2,68027
酉,2,68027
崔,2,68027
年,2,68027
師,4,136054
杞,2,68027
莒,2,68027
杼,2,68027
正,8,272109
月,4,136054
楚,2,68027
天,2,68027
崩,2,68027
寧,2,68027
會,4,136054
系,2,68027
晉,6,204082
辛,2,68027
蔑,4,136054
曹,4,136054
侯,4,136054
鄭,2,68027
黶,2,68027
宋,8,272109
聘,4,136054
剽,2,68027
欒,2,68027
繼,2,68027
石,2,68027
來,6,204082
夏,2,68027
使,4,136054
邾,6,204082
華,2,68027
元,4,136054
厥,2,68027
魚,2,68027
伐,2,68027
罃,2,68027
春,2,68027
薛,2,68027
齊,2,68027
侵,2,68027
滕,2,68027
荀,2,68027
