Character, Abs. Freq., Rel. Freq.
位,2,58480
春,2,58480
元,2,58480
季,6,175439
喜,2,58480
非,4,116959
來,6,175439
受,2,58480
弒,2,58480
仲,6,175439
疏,2,58480
公,6,175439
桓,2,58480
救,4,116959
正,4,116959
夏,2,58480
八,2,58480
善,2,58480
歸,4,116959
侯,2,58480
爾,2,58480
納,2,58480
貴,2,58480
邢,4,116959
齊,10,292398
即,2,58480
姑,2,58480
洛,2,58480
酉,2,58480
王,2,58480
加,2,58480
繼,4,116959
年,2,58480
父,4,116959
外,2,58480
德,2,58480
謚,4,116959
月,6,175439
君,8,233918
冬,2,58480
親,2,58480
事,2,58480
言,4,116959
我,2,58480
葬,4,116959
及,2,58480
莊,4,116959
孫,6,175439
尊,2,58480
成,2,58480
辛,2,58480
盟,4,116959
目,2,58480
累,2,58480
人,2,58480
秋,2,58480
舉,2,58480
國,2,58480
卒,2,58480
