Character, Abs. Freq., Rel. Freq.
惡,2,55556
巳,2,55556
力,2,55556
受,2,55556
春,2,55556
？,2,55556
邑,4,111111
內,4,111111
深,2,55556
翬,2,55556
午,2,55556
衛,4,111111
防,2,55556
秋,2,55556
利,2,55556
敗,4,111111
入,10,277778
鄭,10,277778
辛,4,111111
宋,8,222222
郜,2,55556
大,2,55556
為,2,55556
會,4,111111
國,2,55556
載,2,55556
侯,2,55556
冬,2,55556
蔡,2,55556
伯,4,111111
正,4,111111
丘,2,55556
謹,2,55556
事,2,55556
言,2,55556
師,4,111111
因,2,55556
夏,2,55556
伐,6,166667
易,2,55556
壬,4,111111
舉,2,55556
帥,2,55556
王,2,55556
人,22,611111
郕,4,111111
戰,2,55556
年,2,55556
公,4,111111
戌,2,55556
日,8,222222
菅,2,55556
乘,2,55556
主,2,55556
中,2,55556
齊,6,166667
月,6,166667
