Character, Abs. Freq., Rel. Freq.
病,2,23923
展,2,23923
義,4,47847
受,4,47847
祥,2,23923
施,2,23923
類,10,119617
德,2,23923
問,4,47847
一,4,47847
為,18,215311
好,2,23923
芬,2,23923
羊,2,23923
瑕,2,23923
玉,14,167464
澤,2,23923
天,8,95694
積,4,47847
近,2,23923
死,2,23923
通,2,23923
禮,2,23923
治,2,23923
君,6,71770
視,2,23923
末,2,23923
諦,2,23923
比,2,23923
音,2,23923
人,8,95694
繞,2,23923
角,2,23923
見,4,47847
達,2,23923
民,2,23923
潔,4,47847
發,2,23923
擇,4,47847
大,4,47847
鳴,2,23923
從,2,23923
卿,4,47847
任,2,23923
殺,4,47847
似,4,47847
隨,2,23923
污,4,47847
上,4,47847
香,2,23923
素,2,23923
設,2,23923
濡,2,23923
雁,4,47847
聖,6,71770
堅,4,47847
災,2,23923
吾,2,23923
；,10,119617
合,2,23923
各,2,23923
盡,4,47847
食,2,23923
廉,2,23923
」,2,23923
跪,2,23923
隱,2,23923
清,4,47847
言,2,23923
純,2,23923
害,2,23923
執,4,47847
無,2,23923
贄,12,143541
陽,2,23923
遠,2,23923
良,2,23923
列,2,23923
公,4,47847
淳,4,47847
事,6,71770
暢,6,71770
學,2,23923
長,4,47847
仁,6,71770
用,10,119617
母,2,23923
庸,2,23923
：,2,23923
羞,2,23923
搔,2,23923
醫,2,23923
短,2,23923
！,2,23923
惡,2,23923
觀,2,23923
功,2,23923
臭,2,23923
知,6,71770
侯,4,47847
匿,2,23923
猶,2,23923
外,2,23923
羔,6,71770
蔽,2,23923
「,2,23923
內,2,23923
備,4,47847
白,2,23923
氣,2,23923
行,2,23923
石,4,47847
美,2,23923
潤,4,47847
貴,2,23923
狀,2,23923
粹,4,47847
身,2,23923
意,2,23923
