Character, Abs. Freq., Rel. Freq.
順,4,20020
職,6,30030
濁,2,10010
蒙,4,20020
供,2,10010
夕,2,10010
食,2,10010
生,6,30030
安,4,20020
實,2,10010
重,2,10010
高,6,30030
使,4,20020
降,4,20020
草,2,10010
肝,2,10010
執,4,20020
脾,2,10010
殺,2,10010
情,8,40040
視,2,10010
腎,2,10010
人,4,20020
皮,2,10010
為,54,270270
爵,2,10010
事,14,70070
尊,2,10010
難,2,10010
殿,2,10010
養,4,20020
制,4,20020
榮,2,10010
英,2,10010
聽,2,10010
星,8,40040
近,8,40040
元,2,10010
玉,2,10010
身,4,20020
；,54,270270
腠,2,10010
天,18,90090
百,4,20020
根,4,20020
飲,2,10010
陰,4,20020
命,8,40040
君,28,140140
專,2,10010
見,6,30030
體,22,110110
官,6,30030
罰,2,10010
雙,2,10010
常,2,10010
忠,12,60060
亡,10,50050
苦,2,10010
皇,2,10010
喪,2,10010
陽,8,40040
寫,2,10010
賤,2,10010
力,2,10010
地,10,50050
賞,2,10010
黃,2,10010
象,4,20020
獻,4,20020
孔,2,10010
賢,12,60060
應,2,10010
世,2,10010
木,2,10010
差,2,10010
進,6,30030
猶,2,10010
無,14,70070
宣,2,10010
春,2,10010
通,2,10010
和,2,10010
最,2,10010
芝,2,10010
敵,2,10010
竭,2,10010
全,4,20020
義,4,20020
奸,2,10010
毛,2,10010
霜,4,20020
歸,6,30030
明,22,110110
剛,12,60060
邪,2,10010
禮,2,10010
化,4,20020
就,2,10010
施,6,30030
疾,2,10010
外,2,10010
堅,10,50050
一,8,40040
著,6,30030
親,4,20020
推,2,10010
國,10,50050
股,2,10010
任,4,20020
氣,12,60060
神,14,70070
靜,2,10010
耳,2,10010
目,4,20020
方,2,10010
被,2,10010
委,2,10010
仁,4,20020
退,4,20020
姓,2,10010
朝,2,10010
手,2,10010
法,4,20020
枝,2,10010
惜,2,10010
德,2,10010
女,2,10010
處,2,10010
亂,10,50050
物,4,20020
受,6,30030
節,2,10010
宰,6,30030
道,4,20020
理,4,20020
血,2,10010
褒,2,10010
太,2,10010
宮,2,10010
光,6,30030
上,10,50050
居,4,20020
對,2,10010
承,6,30030
胸,2,10010
考,6,30030
救,2,10010
設,2,10010
清,2,10010
愚,4,20020
露,4,20020
位,8,40040
傷,6,30030
深,4,20020
藏,8,40040
相,8,40040
聰,2,10010
成,12,60060
葉,2,10010
形,18,90090
窮,2,10010
觀,2,10010
授,2,10010
功,16,80080
卑,4,20020
奉,2,10010
恩,6,30030
善,2,10010
群,2,10010
輔,4,20020
序,6,30030
布,2,10010
各,2,10010
終,2,10010
淵,2,10010
平,4,20020
萬,4,20020
內,2,10010
行,4,20020
列,6,30030
飾,2,10010
信,8,40040
鳳,2,10010
引,2,10010
歲,2,10010
揚,2,10010
竅,2,10010
滅,2,10010
死,6,30030
聖,2,10010
精,4,20020
肢,4,20020
務,8,40040
政,2,10010
主,8,40040
惠,2,10010
備,2,10010
肺,2,10010
龍,2,10010
心,24,120120
暴,6,30030
流,2,10010
動,2,10010
致,14,70070
伏,2,10010
隱,4,20020
自,4,20020
患,2,10010
貴,8,40040
臣,28,140140
美,2,10010
聚,2,10010
候,2,10010
量,2,10010
妄,2,10010
危,4,20020
母,6,30030
助,8,40040
肱,2,10010
