Character, Abs. Freq., Rel. Freq.
見,6,62112
賞,4,41408
慶,4,41408
木,2,20704
天,20,207039
褒,2,20704
掇,2,20704
主,4,41408
善,4,41408
理,6,62112
操,2,20704
人,6,62112
愉,2,20704
相,2,20704
無,6,62112
發,18,186335
春,4,41408
時,10,103520
貶,2,20704
生,6,62112
？,2,20704
喜,16,165631
和,14,144928
正,2,20704
變,2,20704
我,2,20704
審,2,20704
從,2,20704
冬,14,144928
勢,2,20704
參,2,20704
意,2,20704
達,2,20704
效,2,20704
隱,2,20704
直,2,20704
受,2,20704
罪,2,20704
應,4,41408
偶,2,20704
端,2,20704
大,2,20704
諱,2,20704
立,4,41408
序,2,20704
位,2,20704
罰,4,41408
忽,2,20704
忿,2,20704
化,2,20704
處,4,41408
道,2,20704
非,2,20704
暑,14,144928
》,2,20704
威,26,269151
草,2,20704
《,2,20704
殺,2,20704
德,32,331263
配,2,20704
刑,4,41408
；,14,144928
猶,8,82816
寒,14,144928
行,2,20704
怒,16,165631
當,28,289855
小,2,20704
惡,4,41408
謹,2,20704
常,2,20704
采,2,20704
平,14,144928
秋,4,41408
失,2,20704
一,2,20704
夏,14,144928
中,2,20704
合,2,20704
心,4,41408
聖,4,41408
民,4,41408
求,4,41408
遺,4,41408
居,2,20704
政,4,41408
為,4,41408
