Character, Abs. Freq., Rel. Freq.
見,2,6901
星,2,6901
形,4,13803
節,16,55210
求,2,6901
臣,28,96618
名,4,13803
光,2,6901
秋,2,6901
官,10,34507
類,2,6901
因,2,6901
相,14,48309
七,8,27605
吾,2,6901
微,4,13803
角,2,6901
自,18,62112
肢,4,13803
旬,2,6901
立,8,27605
諸,6,20704
起,2,6901
大,22,75914
一,80,276052
非,2,6901
卿,14,48309
用,6,20704
各,4,13803
陽,8,27605
聖,8,27605
端,38,131125
八,4,13803
禮,2,6901
金,4,13803
應,2,6901
事,6,20704
理,2,6901
行,4,13803
和,4,13803
固,4,13803
木,2,6901
少,4,13803
治,6,20704
道,8,27605
儀,8,27605
公,20,69013
變,16,55210
為,76,262250
天,98,338164
選,96,331263
規,2,6901
條,12,41408
散,2,6901
礪,2,6901
王,20,69013
情,6,20704
孟,4,13803
經,8,27605
同,2,6901
聞,2,6901
材,2,6901
上,2,6901
百,16,55210
薄,2,6901
地,8,27605
備,4,13803
水,2,6901
受,4,13803
太,4,13803
堤,2,6901
體,4,13803
謹,2,6901
意,2,6901
厚,2,6901
元,4,13803
參,14,48309
物,2,6901
砥,2,6901
長,6,20704
陰,6,20704
身,2,6901
善,4,13803
慎,18,62112
位,10,34507
士,12,41408
察,2,6901
合,6,20704
多,4,13803
暑,2,6901
讓,2,6901
分,10,34507
寶,2,6901
無,4,13803
失,2,6901
觀,2,6901
氣,4,13803
率,12,41408
度,6,20704
；,24,82816
？,8,27605
日,6,20704
美,2,6901
持,14,48309
畢,6,20704
寒,2,6901
時,44,151829
被,2,6901
君,4,13803
每,10,34507
功,2,6901
德,2,6901
終,10,34507
成,30,103520
列,2,6901
勞,2,6901
極,4,13803
冬,2,6901
重,8,27605
正,4,13803
歲,22,75914
土,2,6901
忽,2,6901
直,4,13803
人,58,200138
小,2,6901
季,4,13803
中,14,48309
從,2,6901
春,4,13803
盡,6,20704
制,12,41408
生,2,6901
仲,4,13803
：,2,6901
月,20,69013
積,4,13803
數,32,110421
夏,2,6901
致,2,6901
植,2,6901
止,8,27605
火,2,6901
別,2,6901
