Character, Abs. Freq., Rel. Freq.
處,2,8203
丁,2,8203
衣,44,180476
山,10,41017
間,8,32814
川,2,8203
赤,14,57424
工,2,8203
暴,4,16407
請,2,8203
戊,2,8203
歲,6,24610
和,2,8203
體,2,8203
進,2,8203
青,4,16407
中,22,90238
繒,10,41017
庚,4,16407
冬,2,8203
再,6,24610
尾,2,8203
毋,2,8203
鄉,8,32814
夏,4,16407
伐,2,8203
術,2,8203
火,4,16407
黑,12,49221
水,10,41017
起,2,8203
人,26,106645
社,12,49221
北,10,41017
燔,4,16407
田,2,8203
蝦,18,73831
道,2,8203
陽,2,8203
浚,2,8203
膊,14,57424
植,10,41017
雨,10,41017
相,8,32814
養,2,8203
裡,8,32814
齊,32,131255
財,2,8203
閭,6,24610
令,10,41017
今,4,16407
秋,2,8203
立,8,32814
壇,12,49221
脯,14,57424
偶,2,8203
求,6,24610
置,10,41017
深,8,32814
禁,2,8203
蟆,4,16407
跪,8,32814
鹽,2,8203
開,6,24610
男,2,8203
生,4,16407
丈,24,98441
功,4,16407
」,2,8203
婦,2,8203
名,4,16407
助,4,16407
他,4,16407
發,2,8203
井,4,16407
尺,38,155865
擇,2,8203
西,6,24610
斷,2,8203
藏,2,8203
天,2,8203
母,2,8203
池,10,41017
壹,2,8203
斬,2,8203
辛,2,8203
鰥,2,8203
己,2,8203
蓋,4,16407
事,2,8203
舞,12,49221
縣,2,8203
報,2,8203
壅,4,16407
豬,10,41017
成,4,16407
市,8,32814
恐,2,8203
土,6,24610
春,12,49221
舉,6,24610
壯,2,8203
東,6,24610
茅,2,8203
南,10,41017
骨,2,8203
清,16,65628
宇,2,8203
灶,2,8203
匿,2,8203
馬,2,8203
澍,2,8203
黃,8,32814
祀,4,16407
魚,4,16407
各,12,49221
敬,2,8203
傍,2,8203
冥,2,8203
臼,2,8203
八,18,73831
釜,2,8203
稷,4,16407
黍,2,8203
瀆,2,8203
溜,2,8203
結,4,16407
酒,26,106645
橋,2,8203
居,10,41017
時,4,16407
家,10,41017
為,42,172272
邑,20,82034
尉,2,8203
老,6,24610
病,2,8203
閉,2,8203
門,18,73831
死,2,8203
積,2,8203
初,4,16407
嗇,4,16407
昊,2,8203
禮,2,8203
共,2,8203
暇,4,16407
行,4,16407
穀,4,16407
吏,2,8203
鑿,4,16407
懸,4,16407
席,2,8203
通,20,82034
大,14,57424
雄,6,24610
錯,4,16407
杵,2,8203
「,2,8203
玄,12,49221
雞,6,24610
前,4,16407
木,4,16407
更,2,8203
央,10,41017
小,12,49221
寸,2,8203
陰,2,8203
燒,2,8203
民,4,16407
利,2,8203
林,2,8203
陵,2,8203
：,2,8203
司,4,16407
尤,2,8203
實,2,8203
空,2,8203
陳,10,41017
乙,2,8203
聲,2,8203
狗,2,8203
禱,6,24610
幸,4,16407
桐,2,8203
七,16,65628
複,2,8203
龍,26,106645
辭,2,8203
方,24,98441
聞,2,8203
豚,2,8203
蒼,8,32814
祠,8,32814
丙,2,8203
欲,4,16407
旱,4,16407
戶,2,8203
入,2,8203
塞,2,8203
同,2,8203
祭,10,41017
神,10,41017
鼓,2,8203
聚,2,8203
服,20,82034
長,20,82034
日,58,237900
壬,2,8203
拜,12,49221
無,14,57424
外,18,73831
薪,2,8203
決,2,8203
童,2,8203
溝,6,24610
樂,2,8203
白,10,41017
埋,2,8203
辯,2,8203
癸,2,8203
巫,6,24610
甲,2,8203
潔,4,16407
一,24,98441
季,2,8203
女,2,8203
淵,2,8203
徙,2,8203
祝,24,98441
具,14,57424
