Character, Abs. Freq., Rel. Freq.
神,28,103550
臥,2,7396
襁,2,7396
術,2,7396
非,8,29586
鹿,2,7396
罰,4,14793
石,2,7396
聲,10,36982
度,2,7396
駟,2,7396
聽,4,14793
遍,2,7396
雍,2,7396
務,4,14793
壹,4,14793
佞,2,7396
忠,2,7396
食,6,22189
明,12,44379
離,2,7396
差,2,7396
及,2,7396
來,2,7396
清,4,14793
表,2,7396
言,6,22189
直,4,14793
陰,8,29586
助,2,7396
視,4,14793
內,2,7396
麋,2,7396
心,16,59172
無,32,118343
見,20,73964
曲,4,14793
生,6,22189
外,2,7396
人,44,162722
共,2,7396
厚,2,7396
刑,2,7396
化,12,44379
立,2,7396
參,4,14793
患,2,7396
從,4,14793
用,2,7396
姓,2,7396
冥,8,29586
開,4,14793
峻,2,7396
發,4,14793
合,2,7396
佔,2,7396
信,2,7396
動,2,7396
秉,2,7396
嚴,4,14793
形,12,44379
膠,2,7396
機,4,14793
？,4,14793
謀,2,7396
元,2,7396
飴,2,7396
誌,2,7396
肱,2,7396
端,6,22189
郭,2,7396
道,8,29586
君,34,125740
宿,2,7396
須,2,7396
異,2,7396
尊,12,44379
失,4,14793
邑,2,7396
物,4,14793
積,6,22189
行,8,29586
庠,2,7396
盡,2,7396
任,2,7396
待,2,7396
舉,2,7396
俗,2,7396
襲,2,7396
宮,2,7396
國,18,66568
重,2,7396
音,2,7396
露,4,14793
兼,4,14793
裹,2,7396
主,2,7396
備,2,7396
惡,4,14793
自,26,96154
依,2,7396
向,2,7396
勉,2,7396
好,2,7396
安,8,29586
處,2,7396
崇,8,29586
強,4,14793
爭,2,7396
采,2,7396
家,2,7396
民,6,22189
光,2,7396
室,4,14793
祀,2,7396
蠶,2,7396
進,4,14793
尚,2,7396
上,2,7396
險,2,7396
禰,2,7396
耕,2,7396
誅,2,7396
往,4,14793
彀,2,7396
塊,2,7396
愛,2,7396
灰,2,7396
榮,2,7396
躬,2,7396
樂,6,22189
萬,4,14793
計,2,7396
教,2,7396
成,12,44379
親,4,14793
令,4,14793
勢,2,7396
驗,2,7396
地,8,29586
禮,8,29586
樞,4,14793
應,2,7396
敗,2,7396
盛,4,14793
城,2,7396
謹,2,7396
建,2,7396
阻,2,7396
承,2,7396
甚,2,7396
逃,2,7396
貴,8,29586
讓,4,14793
委,2,7396
濁,4,14793
死,2,7396
就,2,7396
對,6,22189
士,2,7396
蓄,2,7396
情,8,29586
奪,6,22189
功,8,29586
彰,2,7396
祖,2,7396
治,4,14793
實,2,7396
序,6,22189
剛,4,14793
闢,4,14793
顯,2,7396
證,2,7396
棄,2,7396
祿,2,7396
小,4,14793
事,4,14793
作,2,7396
位,6,22189
聖,8,29586
弟,2,7396
修,2,7396
和,4,14793
名,6,22189
倡,6,22189
漆,2,7396
母,2,7396
喪,2,7396
耒,2,7396
據,2,7396
慮,2,7396
臬,2,7396
星,2,7396
今,2,7396
昏,6,22189
敬,6,22189
考,4,14793
求,6,22189
詳,2,7396
精,10,36982
亡,12,44379
豪,2,7396
感,4,14793
股,2,7396
殖,2,7396
驅,2,7396
孰,2,7396
厘,2,7396
相,4,14793
負,2,7396
察,4,14793
怨,2,7396
猶,2,7396
微,2,7396
；,2,7396
知,10,36982
常,2,7396
衣,6,22189
肅,2,7396
墾,2,7396
僵,2,7396
利,2,7396
族,2,7396
專,2,7396
源,2,7396
為,34,125740
桑,2,7396
恩,2,7396
蜜,2,7396
各,2,7396
悌,8,29586
甘,2,7396
臣,4,14793
居,12,44379
休,2,7396
月,2,7396
費,2,7396
終,4,14793
一,6,22189
分,2,7396
枕,4,14793
奉,10,36982
大,4,14793
寂,2,7396
久,2,7396
累,2,7396
固,2,7396
變,2,7396
春,2,7396
響,4,14793
賞,4,14793
同,10,36982
執,2,7396
搶,2,7396
父,4,14793
退,2,7396
受,2,7396
我,4,14793
德,8,29586
止,4,14793
黨,2,7396
要,2,7396
影,6,22189
體,2,7396
：,2,7396
爵,2,7396
野,2,7396
敢,4,14793
使,6,22189
慎,4,14793
邦,2,7396
觀,2,7396
日,8,29586
致,6,22189
賢,20,73964
辰,2,7396
闔,2,7396
綏,2,7396
手,2,7396
孝,10,36982
追,2,7396
問,10,36982
虛,4,14793
陽,12,44379
聞,12,44379
障,2,7396
畏,2,7396
本,24,88757
欲,8,29586
辱,2,7396
職,2,7396
百,2,7396
郊,2,7396
隨,2,7396
政,2,7396
力,2,7396
讎,2,7396
天,16,59172
草,2,7396
釋,2,7396
號,4,14793
吾,6,22189
危,4,14793
養,8,29586
