Character, Abs. Freq., Rel. Freq.
好,2,15456
趨,4,30912
知,8,61824
解,2,15456
吾,2,15456
家,2,15456
為,6,46368
邪,2,15456
天,6,46368
授,2,15456
體,8,61824
萬,2,15456
厚,2,15456
薄,2,15456
說,2,15456
富,4,30912
：,8,61824
誰,2,15456
錯,2,15456
時,2,15456
難,2,15456
樂,10,77280
敢,4,30912
戮,2,15456
賊,4,30912
罪,2,15456
傅,2,15456
重,2,15456
兒,4,30912
暗,4,30912
正,2,15456
一,2,15456
行,16,123648
走,2,15456
動,6,46368
深,2,15456
堯,2,15456
禁,2,15456
計,2,15456
功,2,15456
貴,2,15456
存,2,15456
尚,2,15456
安,2,15456
原,2,15456
地,2,15456
終,2,15456
云,2,15456
德,12,92736
「,6,46368
從,2,15456
珠,4,30912
反,2,15456
折,2,15456
戶,2,15456
道,14,108192
明,2,15456
旋,2,15456
通,2,15456
羞,2,15456
易,2,15456
金,8,61824
殉,2,15456
憲,2,15456
利,22,170015
複,2,15456
王,2,15456
歌,2,15456
聖,4,30912
非,6,46368
殺,2,15456
陷,2,15456
民,16,123648
養,14,108192
示,14,108192
化,10,77280
因,2,15456
」,6,46368
立,2,15456
貧,4,30912
欲,4,30912
用,4,30912
殃,2,15456
辱,2,15456
殘,2,15456
禍,2,15456
斯,2,15456
我,2,15456
忠,2,15456
生,12,92736
千,2,15456
嚴,2,15456
勢,2,15456
詩,4,30912
嬰,4,30912
屬,2,15456
孔,2,15456
直,2,15456
甚,6,46368
仲,2,15456
無,14,108192
尼,2,15456
夭,2,15456
理,2,15456
舜,2,15456
常,2,15456
斤,2,15456
自,14,108192
曾,2,15456
治,2,15456
固,2,15456
上,2,15456
財,2,15456
今,8,61824
死,2,15456
迷,2,15456
犯,4,30912
傷,2,15456
小,4,30912
心,8,61824
野,4,30912
意,2,15456
主,2,15456
棗,4,30912
義,32,247295
他,2,15456
惡,4,30912
物,2,15456
奚,2,15456
身,4,30912
；,2,15456
爾,4,30912
國,4,30912
止,2,15456
》,2,15456
閔,2,15456
見,4,30912
握,4,30912
刑,10,77280
勝,2,15456
使,4,30912
大,26,200927
法,4,30912
耳,2,15456
即,2,15456
怪,2,15456
令,2,15456
加,2,15456
忘,2,15456
顯,8,61824
實,2,15456
《,2,15456
？,2,15456
賤,2,15456
人,26,200927
憂,2,15456
待,2,15456
榮,2,15456
