Character, Abs. Freq., Rel. Freq.
襲,2,9033
事,2,9033
陷,2,9033
匹,2,9033
自,16,72267
文,4,18067
古,2,9033
內,4,18067
生,4,18067
及,6,27100
困,2,9033
武,6,27100
誘,2,9033
初,2,9033
加,2,9033
餘,2,9033
賜,2,9033
！,4,18067
鼓,2,9033
關,2,9033
屠,2,9033
壤,2,9033
都,4,18067
奇,4,18067
群,2,9033
褒,2,9033
南,6,27100
期,2,9033
愈,2,9033
女,2,9033
楚,2,9033
遂,2,9033
敢,2,9033
說,8,36134
安,2,9033
述,46,207769
符,2,9033
農,2,9033
元,2,9033
衣,2,9033
觀,2,9033
尺,2,9033
漕,2,9033
戰,8,36134
靡,2,9033
中,16,72267
巴,2,9033
掌,2,9033
非,2,9033
問,2,9033
耳,2,9033
定,4,18067
計,2,9033
利,8,36134
方,8,36134
分,4,18067
實,2,9033
石,2,9033
建,2,9033
勝,2,9033
帛,2,9033
意,2,9033
投,2,9033
手,6,27100
功,8,36134
服,2,9033
桀,2,9033
志,2,9033
止,2,9033
冀,2,9033
白,6,27100
因,4,18067
岑,10,45167
饉,2,9033
名,10,45167
力,2,9033
亟,2,9033
地,14,63234
驅,2,9033
伯,2,9033
兵,20,90334
斜,2,9033
訛,2,9033
八,2,9033
德,2,9033
公,22,99368
侍,2,9033
略,2,9033
鳴,2,9033
塗,4,18067
柄,2,9033
層,2,9033
道,6,27100
效,2,9033
萬,2,9033
姓,6,27100
飢,2,9033
招,2,9033
幟,2,9033
漸,2,9033
轉,2,9033
丘,2,9033
割,2,9033
常,2,9033
業,4,18067
稍,2,9033
遠,2,9033
曹,2,9033
龍,4,18067
倚,2,9033
士,8,36134
器,2,9033
易,2,9033
風,4,18067
朝,2,9033
孫,20,90334
？,6,27100
王,12,54201
財,2,9033
臣,4,18067
傑,2,9033
擊,4,18067
況,2,9033
客,2,9033
移,2,9033
議,2,9033
流,2,9033
奈,2,9033
壘,2,9033
會,4,18067
悉,4,18067
滅,4,18067
敵,2,9033
竹,2,9033
亡,2,9033
祖,2,9033
吾,4,18067
君,2,9033
墮,2,9033
任,2,9033
隴,2,9033
幹,2,9033
漢,22,99368
副,2,9033
千,12,54201
補,2,9033
欲,6,27100
當,6,27100
穀,6,27100
樓,2,9033
百,6,27100
墟,2,9033
厶,2,9033
死,8,36134
破,6,27100
東,12,54201
即,2,9033
：,24,108401
茂,2,9033
創,2,9033
野,2,9033
相,2,9033
慮,2,9033
依,2,9033
挑,2,9033
長,6,27100
外,4,18067
浮,2,9033
輒,2,9033
男,2,9033
便,2,9033
父,2,9033
募,2,9033
精,2,9033
土,2,9033
海,4,18067
舊,2,9033
語,4,18067
聲,2,9033
銀,2,9033
國,6,27100
扶,2,9033
躬,2,9033
絕,2,9033
傳,2,9033
資,2,9033
并,2,9033
據,6,27100
果,2,9033
來,2,9033
倉,8,36134
決,2,9033
徙,2,9033
夕,2,9033
陽,2,9033
堅,4,18067
令,4,18067
膏,2,9033
拒,2,9033
用,4,18067
西,6,27100
將,6,27100
；,2,9033
赤,4,18067
廢,2,9033
勢,2,9033
並,2,9033
材,2,9033
信,2,9033
疑,2,9033
人,18,81301
降,2,9033
稱,4,18067
愛,2,9033
光,6,27100
舉,2,9033
尚,4,18067
配,2,9033
上,2,9033
工,2,9033
府,2,9033
扞,2,9033
妻,2,9033
夢,2,9033
敗,6,27100
縣,2,9033
向,4,18067
銅,2,9033
望,2,9033
號,6,27100
夜,2,9033
為,22,99368
馬,4,18067
陣,2,9033
金,2,9033
巫,2,9033
我,2,9033
昔,2,9033
高,2,9033
飽,2,9033
潛,2,9033
天,14,63234
坐,4,18067
愚,2,9033
鎮,2,9033
魚,2,9033
郎,2,9033
搖,2,9033
市,4,18067
緣,2,9033
位,2,9033
奮,4,18067
就,2,9033
太,4,18067
覺,2,9033
對,4,18067
覆,2,9033
順,2,9033
史,2,9033
跨,2,9033
拱,2,9033
蜀,8,36134
今,8,36134
帝,14,63234
合,6,27100
囂,4,18067
邑,2,9033
系,2,9033
數,6,27100
瑞,6,27100
聞,4,18067
北,4,18067
改,6,27100
錐,2,9033
窮,2,9033
「,26,117435
成,18,81301
殿,2,9033
延,6,27100
揚,2,9033
腴,2,9033
築,2,9033
大,8,36134
里,10,45167
發,6,27100
治,2,9033
陵,4,18067
山,8,36134
乘,2,9033
失,2,9033
見,4,18067
無,12,54201
秩,2,9033
兒,2,9033
散,2,9033
空,6,27100
鹽,4,18067
亭,2,9033
吳,4,18067
起,4,18067
郭,2,9033
政,2,9033
一,2,9033
荊,4,18067
窺,2,9033
秦,6,27100
承,2,9033
食,2,9033
盛,2,9033
橫,2,9033
跡,2,9033
沙,2,9033
戎,4,18067
民,2,9033
狐,2,9033
城,4,18067
波,2,9033
復,8,36134
應,2,9033
寸,2,9033
使,8,36134
水,10,45167
清,2,9033
談,2,9033
蕩,2,9033
莽,2,9033
口,2,9033
郡,4,18067
言,12,54201
守,12,54201
平,4,18067
物,2,9033
尾,2,9033
橋,2,9033
旗,2,9033
求,2,9033
屯,2,9033
尊,2,9033
書,6,27100
懼,2,9033
歸,2,9033
前,2,9033
黃,2,9033
諸,2,9033
卻,2,9033
吏,2,9033
固,4,18067
御,2,9033
檄,2,9033
往,2,9033
遣,2,9033
詐,2,9033
輔,4,18067
急,2,9033
兩,2,9033
沃,2,9033
時,8,36134
熊,4,18067
霸,2,9033
烏,2,9033
偽,2,9033
爭,2,9033
江,4,18067
身,2,9033
隙,2,9033
豪,4,18067
震,4,18067
踰,2,9033
興,2,9033
知,2,9033
兼,2,9033
舍,2,9033
隗,6,27100
軍,10,45167
造,2,9033
李,2,9033
杜,2,9033
」,26,117435
聚,4,18067
邯,4,18067
末,2,9033
仁,2,9033
立,6,27100
宜,10,45167
字,2,9033
耀,2,9033
隨,2,9033
弟,2,9033
田,4,18067
