Character, Abs. Freq., Rel. Freq.
慚,2,8065
壇,4,16129
相,4,16129
許,2,8065
持,6,24194
庶,4,16129
末,2,8065
「,20,80645
匡,4,16129
用,2,8065
尉,4,16129
帳,2,8065
褕,2,8065
蘇,2,8065
鄉,2,8065
禹,2,8065
匿,2,8065
恣,2,8065
帥,4,16129
璽,4,16129
湖,2,8065
及,4,16129
食,2,8065
怒,2,8065
掘,2,8065
風,2,8065
聞,2,8065
●,2,8065
自,10,40323
令,2,8065
帝,4,16129
醉,2,8065
伯,8,32258
劍,2,8065
弘,2,8065
時,4,16129
林,12,48387
傭,2,8065
上,18,72581
公,36,145161
拔,2,8065
安,14,56452
升,8,32258
太,2,8065
一,2,8065
鄧,2,8065
海,2,8065
推,2,8065
植,2,8065
欲,6,24194
圍,2,8065
衣,4,16129
害,4,16129
新,6,24194
淯,2,8065
方,6,24194
習,2,8065
平,12,48387
沙,2,8065
聲,2,8065
信,2,8065
宛,8,32258
往,4,16129
奉,4,16129
非,2,8065
氏,2,8065
門,6,24194
兄,2,8065
疆,2,8065
王,22,88710
赦,2,8065
書,2,8065
輒,2,8065
！,4,16129
返,2,8065
苦,2,8065
從,8,32258
服,4,16129
犯,2,8065
錯,2,8065
鴻,2,8065
州,4,16129
怪,2,8065
庭,2,8065
輔,6,24194
宮,6,24194
泥,2,8065
決,2,8065
元,4,16129
李,4,16129
奔,2,8065
高,2,8065
東,4,16129
淮,2,8065
年,4,16129
：,22,88710
屏,2,8065
北,8,32258
卬,2,8065
月,2,8065
客,4,16129
節,2,8065
除,2,8065
復,4,16129
空,2,8065
城,12,48387
洛,6,24194
昆,2,8065
進,2,8065
河,2,8065
謁,4,16129
收,6,24194
罵,2,8065
御,4,16129
敢,2,8065
郡,2,8065
示,2,8065
茂,2,8065
澤,2,8065
案,2,8065
繡,2,8065
陳,2,8065
偏,2,8065
廚,2,8065
甄,2,8065
婦,4,16129
遂,12,48387
祿,2,8065
兵,16,64516
命,2,8065
帑,2,8065
萬,4,16129
侍,14,56452
問,2,8065
咸,2,8065
蔥,2,8065
刺,2,8065
受,2,8065
刮,2,8065
渠,2,8065
酒,2,8065
侯,6,24194
擊,2,8065
鼓,2,8065
中,18,72581
閭,4,16129
荊,2,8065
畏,2,8065
虞,2,8065
來,4,16129
鍾,2,8065
逃,2,8065
起,4,16129
愧,2,8065
仍,2,8065
莽,12,48387
柱,2,8065
羊,4,16129
儀,4,16129
即,2,8065
居,4,16129
臺,2,8065
襜,2,8065
捽,2,8065
號,6,24194
杜,2,8065
為,34,137097
識,2,8065
賤,2,8065
因,4,16129
日,8,32258
灶,2,8065
對,2,8065
守,2,8065
怨,2,8065
正,2,8065
政,2,8065
經,2,8065
漢,2,8065
結,2,8065
官,6,24194
樊,2,8065
詈,2,8065
禮,2,8065
合,2,8065
立,10,40323
漸,2,8065
鉤,2,8065
陛,2,8065
首,4,16129
置,2,8065
七,2,8065
郎,6,24194
我,4,16129
群,4,16129
弟,2,8065
向,2,8065
稱,6,24194
降,6,24194
間,2,8065
錦,2,8065
入,14,56452
會,4,16129
市,10,40323
爛,4,16129
呼,2,8065
廖,2,8065
山,2,8065
枯,2,8065
字,2,8065
失,4,16129
奏,2,8065
野,2,8065
頭,2,8065
度,2,8065
饉,2,8065
大,4,16129
亡,2,8065
姓,2,8065
威,4,16129
聖,28,112903
武,4,16129
堵,2,8065
滑,2,8065
數,6,24194
女,4,16129
共,2,8065
傳,4,16129
農,2,8065
趙,6,24194
侵,4,16129
」,20,80645
罪,2,8065
委,2,8065
鮪,2,8065
引,4,16129
司,2,8065
八,2,8065
車,6,24194
崇,4,16129
樅,2,8065
馳,2,8065
交,2,8065
冠,6,24194
喪,2,8065
陪,2,8065
水,2,8065
后,2,8065
玄,2,8065
胃,2,8065
封,6,24194
斬,4,16129
長,14,56452
望,6,24194
蓩,2,8065
言,4,16129
宣,2,8065
族,2,8065
求,2,8065
款,4,16129
霸,2,8065
光,4,16129
霍,2,8065
葬,2,8065
詔,8,32258
攻,6,24194
藏,2,8065
牧,10,40323
綬,4,16129
千,8,32258
諍,2,8065
陵,6,24194
西,2,8065
滅,4,16129
殺,4,16129
路,2,8065
理,2,8065
里,4,16129
似,2,8065
被,2,8065
馬,10,40323
盆,2,8065
奪,2,8065
將,22,88710
央,2,8065
天,10,40323
舂,2,8065
每,2,8065
寵,2,8065
賓,2,8065
願,2,8065
抵,2,8065
帷,4,16129
常,6,24194
阜,2,8065
納,2,8065
父,2,8065
陽,14,56452
轉,2,8065
聚,2,8065
劉,8,32258
見,4,16129
作,2,8065
報,2,8065
尤,2,8065
面,4,16129
署,2,8065
諸,16,64516
師,2,8065
拜,8,32258
死,4,16129
乘,2,8065
殿,2,8065
更,54,217742
養,2,8065
避,2,8065
救,2,8065
語,6,24194
堂,2,8065
小,4,16129
前,2,8065
呂,2,8065
今,2,8065
雄,2,8065
內,4,16129
通,4,16129
地,2,8065
輿,2,8065
飲,6,24194
黃,4,16129
府,4,16129
吏,10,40323
？,2,8065
江,2,8065
謝,6,24194
戰,4,16129
石,2,8065
使,6,24194
關,6,24194
坐,4,16129
松,4,16129
歸,4,16129
飢,2,8065
本,2,8065
多,2,8065
訟,2,8065
韓,6,24194
縱,2,8065
朱,2,8065
赤,8,32258
南,8,32258
詣,8,32258
嗜,2,8065
都,6,24194
臣,2,8065
事,8,32258
旦,2,8065
席,2,8065
視,2,8065
改,2,8065
爵,2,8065
百,4,16129
尚,4,16129
餘,6,24194
發,2,8065
庚,2,8065
戌,2,8065
