Character, Abs. Freq., Rel. Freq.
餘,2,23041
裳,2,23041
乘,8,92166
城,6,69124
菔,2,23041
騎,2,23041
君,2,23041
劉,10,115207
棄,2,23041
集,2,23041
食,4,46083
校,2,23041
歌,2,23041
俠,6,69124
敗,2,23041
內,2,23041
祠,4,46083
拜,2,23041
見,2,23041
死,4,46083
符,4,46083
宜,2,23041
髮,2,23041
矢,2,23041
單,2,23041
綦,2,23041
室,2,23041
絳,4,46083
兄,2,23041
翊,2,23041
西,2,23041
諸,2,23041
幼,2,23041
啼,2,23041
王,4,46083
落,2,23041
詣,2,23041
百,8,92166
跣,2,23041
掖,2,23041
肯,2,23041
侍,2,23041
笥,2,23041
景,2,23041
會,2,23041
式,2,23041
等,6,69124
車,16,184332
半,2,23041
被,2,23041
小,4,46083
鮮,2,23041
門,4,46083
一,4,46083
牧,4,46083
臣,2,23041
驅,2,23041
請,2,23041
后,2,23041
朱,2,23041
舍,2,23041
帝,2,23041
：,6,69124
恐,2,23041
札,4,46083
書,4,46083
矰,2,23041
眉,4,46083
罷,2,23041
頭,2,23041
木,2,23041
使,4,46083
適,2,23041
兵,2,23041
輸,2,23041
丞,2,23041
兩,2,23041
轉,2,23041
積,2,23041
前,2,23041
稱,4,46083
萬,6,69124
袍,2,23041
避,2,23041
弩,2,23041
為,2,23041
朝,4,46083
兒,4,46083
數,8,92166
？,2,23041
尚,2,23041
空,2,23041
笑,2,23041
稍,2,23041
最,2,23041
馬,4,46083
徒,2,23041
相,4,46083
高,2,23041
自,2,23041
更,4,46083
皇,2,23041
蓋,2,23041
閉,2,23041
盆,28,322581
根,2,23041
陛,2,23041
侯,2,23041
「,8,92166
卿,6,69124
居,4,46083
年,4,46083
耳,4,46083
殿,2,23041
山,4,46083
探,4,46083
宮,2,23041
南,2,23041
號,2,23041
捕,2,23041
事,2,23041
央,2,23041
廩,2,23041
鎧,2,23041
時,6,69124
火,2,23041
置,2,23041
泣,2,23041
衣,4,46083
隨,2,23041
旦,2,23041
夕,2,23041
女,2,23041
池,2,23041
懼,2,23041
幘,2,23041
禮,2,23041
人,10,115207
軍,10,115207
千,2,23041
奉,4,46083
白,2,23041
卒,2,23041
怒,2,23041
令,2,23041
共,2,23041
將,8,92166
賊,2,23041
安,4,46083
蘆,2,23041
尉,2,23041
馮,2,23041
幽,2,23041
長,4,46083
降,4,46083
呼,2,23041
陽,4,46083
綬,2,23041
道,2,23041
履,2,23041
魚,2,23041
待,4,46083
吹,2,23041
從,12,138249
猶,2,23041
入,4,46083
制,2,23041
甲,2,23041
宗,2,23041
上,6,69124
中,16,184332
老,4,46083
熊,2,23041
屬,2,23041
璽,2,23041
立,2,23041
赤,6,69124
駕,2,23041
欲,6,69124
大,4,46083
止,2,23041
左,2,23041
詔,2,23041
」,8,92166
直,2,23041
拔,2,23041
庭,4,46083
