Character, Abs. Freq., Rel. Freq.
入,2,56818
等,2,56818
醇,2,56818
：,2,56818
人,2,56818
家,2,56818
小,2,56818
少,8,227273
多,2,56818
！,2,56818
仇,2,56818
假,2,56818
貲,2,56818
欲,4,113636
執,2,56818
號,2,56818
年,6,170455
數,4,113636
」,4,113636
賓,2,56818
償,2,56818
吏,2,56818
聚,4,113636
貰,2,56818
萬,2,56818
來,2,56818
耳,2,56818
益,2,56818
問,2,56818
吾,2,56818
君,2,56818
寧,2,56818
百,4,113636
殺,6,170455
哀,2,56818
枉,2,56818
諸,2,56818
稱,2,56818
相,4,113636
宰,8,227273
因,2,56818
劍,2,56818
刀,2,56818
規,2,56818
輒,2,56818
沽,2,56818
母,10,284091
素,2,56818
將,2,56818
罪,2,56818
許,2,56818
裘,2,56818
破,2,56818
密,2,56818
客,4,113636
犯,2,56818
海,6,170455
冢,2,56818
報,4,113636
「,4,113636
為,4,113636
服,2,56818
軍,2,56818
徐,2,56818
曲,4,113636
買,2,56818
泣,2,56818
乏,2,56818
豐,2,56818
縣,6,170455
視,2,56818
搤,2,56818
諾,2,56818
衣,4,113636
虎,2,56818
釀,2,56818
酒,2,56818
遂,2,56818
呂,8,227273
肯,2,56818
產,2,56818
怨,4,113636
自,4,113636
祭,2,56818
論,2,56818
