Character, Abs. Freq., Rel. Freq.
公,2,140845
諫,2,140845
「,2,140845
免,2,140845
帝,4,281690
鳴,2,140845
詣,2,140845
司,2,140845
明,2,140845
譴,2,140845
據,2,140845
」,2,140845
卿,4,281690
孝,2,140845
雄,2,140845
非,2,140845
永,2,140845
書,4,281690
將,2,140845
劉,2,140845
亞,2,140845
行,2,140845
為,2,140845
制,2,140845
被,2,140845
加,4,281690
撻,2,140845
從,2,140845
左,2,140845
撲,4,281690
玉,2,140845
召,2,140845
尚,4,281690
農,2,140845
事,2,140845
捶,4,281690
平,2,140845
古,2,140845
位,2,140845
大,2,140845
：,2,140845
職,2,140845
罰,2,140845
