Character, Abs. Freq., Rel. Freq.
繒,2,23419
職,2,23419
陳,2,23419
遊,6,70258
穗,2,23419
諸,2,23419
支,2,23419
安,2,23419
復,2,23419
免,2,23419
大,2,23419
錄,2,23419
范,2,23419
受,2,23419
吏,6,70258
敢,2,23419
殷,2,23419
岐,2,23419
習,2,23419
委,2,23419
稻,2,23419
吳,2,23419
田,4,46838
及,2,23419
頃,2,23419
業,2,23419
種,2,23419
「,10,117096
山,2,23419
民,4,46838
漁,4,46838
疋,2,23419
年,4,46838
選,2,23419
曹,2,23419
魚,2,23419
聖,2,23419
上,6,70258
太,6,70258
力,2,23419
見,2,23419
長,2,23419
美,2,23419
乘,4,46838
廉,2,23419
師,2,23419
官,2,23419
事,2,23419
計,4,46838
秋,2,23419
日,4,46838
」,10,117096
鎮,2,23419
捲,2,23419
威,2,23419
視,2,23419
千,4,46838
轅,4,46838
召,2,23419
丞,2,23419
心,2,23419
光,2,23419
都,2,23419
同,2,23419
效,2,23419
撫,2,23419
孫,6,70258
表,2,23419
風,2,23419
奴,2,23419
珍,4,46838
無,6,70258
犯,2,23419
政,4,46838
稱,2,23419
守,12,140515
玉,2,23419
詔,2,23419
百,6,70258
入,2,23419
物,2,23419
白,2,23419
君,12,140515
京,2,23419
郡,12,140515
前,4,46838
漢,4,46838
歌,2,23419
囊,4,46838
折,4,46838
竹,2,23419
為,8,93677
塞,2,23419
討,4,46838
李,2,23419
遷,4,46838
教,2,23419
時,4,46838
南,4,46838
家,2,23419
字,8,93677
破,4,46838
我,2,23419
汗,2,23419
開,2,23419
渡,2,23419
即,2,23419
土,2,23419
枝,2,23419
面,2,23419
善,2,23419
息,2,23419
積,4,46838
：,8,93677
世,2,23419
仁,2,23419
顯,4,46838
樂,2,23419
握,2,23419
否,2,23419
才,2,23419
布,4,46838
斬,2,23419
惠,4,46838
數,2,23419
童,4,46838
遂,6,70258
號,2,23419
丘,2,23419
兩,2,23419
今,2,23419
歎,2,23419
令,8,93677
張,16,187354
八,4,46838
雜,2,23419
易,2,23419
相,2,23419
水,4,46838
陽,10,117096
簿,2,23419
并,2,23419
桑,2,23419
公,6,70258
附,2,23419
蜀,16,187354
武,2,23419
高,2,23419
梁,2,23419
堪,26,304450
平,2,23419
樊,2,23419
歲,2,23419
被,4,46838
試,4,46838
治,4,46838
人,12,140515
難,2,23419
匈,2,23419
問,2,23419
寶,4,46838
云,2,23419
養,2,23419
賜,2,23419
昔,2,23419
軍,2,23419
麥,2,23419
姓,2,23419
遣,4,46838
游,2,23419
姦,2,23419
餘,4,46838
行,2,23419
富,4,46838
毫,2,23419
述,6,70258
珠,2,23419
箄,2,23419
成,2,23419
士,2,23419
除,2,23419
謠,2,23419
聞,2,23419
嘗,2,23419
車,4,46838
熱,2,23419
掾,2,23419
擊,4,46838
進,2,23419
