Character, Abs. Freq., Rel. Freq.
身,2,112360
兵,2,112360
遷,2,112360
任,2,112360
詔,6,337079
守,2,112360
為,2,112360
：,4,224719
戰,2,112360
乞,2,112360
馬,2,112360
自,2,112360
贍,2,112360
復,2,112360
眉,2,112360
攻,2,112360
「,4,224719
涿,2,112360
一,2,112360
甚,2,112360
許,2,112360
會,2,112360
八,2,112360
歆,2,112360
縣,2,112360
況,6,337079
家,2,112360
時,2,112360
居,4,224719
上,4,224719
疏,2,112360
對,2,112360
問,2,112360
關,4,224719
哀,2,112360
養,2,112360
赤,2,112360
年,2,112360
郡,2,112360
起,2,112360
常,2,112360
山,2,112360
」,4,224719
死,2,112360
太,2,112360
人,2,112360
長,2,112360
城,2,112360
