Character, Abs. Freq., Rel. Freq.
餘,4,71429
屠,2,35714
酤,2,35714
風,2,35714
乾,2,35714
歸,2,35714
屋,2,35714
水,4,71429
令,6,107143
拜,2,35714
聞,2,35714
平,2,35714
舍,2,35714
非,2,35714
直,2,35714
飲,2,35714
達,4,71429
尚,4,71429
縣,2,35714
為,8,142857
事,6,107143
席,2,35714
稱,2,35714
歐,2,35714
欲,2,35714
人,2,35714
萬,4,71429
責,2,35714
字,2,35714
止,2,35714
登,2,35714
首,2,35714
殤,2,35714
釋,2,35714
百,4,71429
府,4,71429
重,2,35714
年,2,35714
廷,4,71429
后,2,35714
留,2,35714
朝,2,35714
衣,2,35714
戶,2,35714
千,4,71429
作,2,35714
曹,2,35714
田,4,71429
盛,2,35714
初,2,35714
鄰,2,35714
榮,2,35714
墾,2,35714
惡,2,35714
遷,2,35714
送,2,35714
賜,2,35714
獄,4,71429
物,4,71429
惶,2,35714
里,4,71429
育,2,35714
糒,2,35714
坡,2,35714
當,2,35714
馬,2,35714
傅,2,35714
禁,2,35714
帝,6,107143
和,2,35714
車,2,35714
巡,4,71429
公,2,35714
京,2,35714
男,2,35714
茅,2,35714
伯,2,35714
國,2,35714
執,2,35714
祠,2,35714
穀,2,35714
張,8,142857
道,2,35714
行,4,71429
實,4,71429
成,2,35714
法,2,35714
園,2,35714
桓,2,35714
常,2,35714
宰,2,35714
夕,2,35714
徐,2,35714
問,2,35714
書,6,107143
宮,2,35714
闟,2,35714
臣,2,35714
廬,2,35714
官,2,35714
超,2,35714
守,4,71429
從,4,71429
廣,2,35714
恐,2,35714
假,2,35714
禹,16,285714
飯,2,35714
錄,2,35714
習,2,35714
居,2,35714
佐,2,35714
好,2,35714
自,2,35714
鄧,2,35714
學,2,35714
對,2,35714
處,2,35714
徑,2,35714
士,2,35714
大,2,35714
理,2,35714
致,2,35714
頃,4,71429
吏,4,71429
尉,6,107143
什,2,35714
貧,2,35714
符,2,35714
東,2,35714
絕,2,35714
來,2,35714
除,2,35714
郎,2,35714
具,4,71429
內,2,35714
樹,2,35714
明,4,71429
食,6,107143
屑,2,35714
閏,4,71429
南,2,35714
斷,2,35714
太,10,178571
師,2,35714
草,2,35714
陽,2,35714
詔,2,35714
市,2,35714
廟,2,35714
西,2,35714
北,4,71429
斛,2,35714
