Character, Abs. Freq., Rel. Freq.
明,8,25907
被,2,6477
卷,2,6477
還,2,6477
留,4,12953
滅,2,6477
率,4,12953
尚,6,19430
外,4,12953
卑,2,6477
遮,2,6477
簡,2,6477
寄,2,6477
熾,4,12953
泉,4,12953
遷,4,12953
園,2,6477
刑,4,12953
堯,4,12953
節,4,12953
司,6,19430
擾,2,6477
雒,2,6477
數,4,12953
道,12,38860
坎,2,6477
稍,2,6477
心,8,25907
漢,12,38860
云,4,12953
連,2,6477
穀,2,6477
詘,2,6477
屈,4,12953
什,2,6477
供,2,6477
界,2,6477
后,2,6477
陪,2,6477
力,2,6477
合,4,12953
福,4,12953
術,2,6477
推,2,6477
徒,2,6477
陵,6,19430
提,2,6477
每,2,6477
往,4,12953
厄,2,6477
恭,2,6477
扶,2,6477
宗,8,25907
相,10,32383
周,8,25907
坑,2,6477
意,2,6477
抱,2,6477
應,2,6477
禽,2,6477
侍,2,6477
施,2,6477
薦,4,12953
陰,4,12953
亢,2,6477
夕,2,6477
己,2,6477
水,8,25907
南,2,6477
稅,2,6477
農,4,12953
起,2,6477
諭,2,6477
受,6,19430
事,4,12953
林,38,123057
奉,6,19430
要,2,6477
兼,2,6477
猥,2,6477
族,6,19430
僚,2,6477
象,2,6477
治,4,12953
誠,2,6477
敬,2,6477
幸,4,12953
舊,8,25907
害,4,12953
章,6,19430
土,2,6477
僉,2,6477
聽,2,6477
桓,2,6477
府,4,12953
反,2,6477
古,4,12953
殄,2,6477
忍,2,6477
列,2,6477
昔,2,6477
兩,4,12953
違,4,12953
俗,4,12953
行,6,19430
蘊,2,6477
封,2,6477
殛,2,6477
懼,4,12953
肉,2,6477
惑,2,6477
魯,2,6477
惕,2,6477
甚,4,12953
憚,2,6477
成,12,38860
橫,2,6477
使,4,12953
稟,2,6477
制,6,19430
據,2,6477
侯,6,19430
吏,6,19430
髡,2,6477
恥,2,6477
憂,2,6477
改,2,6477
耳,2,6477
設,2,6477
同,6,19430
稱,2,6477
累,2,6477
輒,4,12953
乘,2,6477
稷,2,6477
潰,4,12953
勳,2,6477
績,2,6477
徼,2,6477
怵,2,6477
壞,2,6477
尊,4,12953
令,12,38860
蒿,2,6477
異,2,6477
創,2,6477
坻,2,6477
殺,4,12953
順,2,6477
父,2,6477
祭,4,12953
郡,6,19430
助,2,6477
直,4,12953
神,4,12953
景,2,6477
朋,2,6477
分,6,19430
業,4,12953
災,4,12953
玉,2,6477
衰,2,6477
旦,2,6477
楊,2,6477
邑,2,6477
深,2,6477
鉗,2,6477
言,4,12953
種,2,6477
援,8,25907
薄,2,6477
況,2,6477
字,8,25907
燕,2,6477
畫,2,6477
少,2,6477
傭,2,6477
須,2,6477
愚,2,6477
千,2,6477
石,2,6477
昌,2,6477
上,12,38860
負,6,19430
？,2,6477
早,2,6477
學,2,6477
遺,8,25907
屬,2,6477
保,2,6477
鄭,2,6477
京,2,6477
元,10,32383
廬,2,6477
敗,4,12953
基,4,12953
步,2,6477
我,4,12953
空,2,6477
支,2,6477
聞,6,19430
史,2,6477
易,10,32383
書,6,19430
苟,2,6477
祿,6,19430
粟,4,12953
貪,4,12953
田,4,12953
殖,2,6477
崇,2,6477
潦,2,6477
夷,4,12953
具,2,6477
狼,2,6477
肌,2,6477
作,4,12953
純,2,6477
初,2,6477
脫,4,12953
賃,2,6477
七,2,6477
師,8,25907
曼,2,6477
海,2,6477
退,2,6477
倉,2,6477
徵,2,6477
草,6,19430
辱,2,6477
享,2,6477
重,10,32383
宄,2,6477
殷,2,6477
觀,2,6477
奔,2,6477
縣,4,12953
輕,4,12953
統,2,6477
樂,4,12953
群,2,6477
賊,2,6477
義,8,25907
備,2,6477
姓,4,12953
楚,2,6477
實,2,6477
知,6,19430
卦,2,6477
仰,4,12953
賴,2,6477
都,2,6477
徙,4,12953
難,2,6477
延,2,6477
太,2,6477
政,4,12953
囂,8,25907
護,2,6477
淪,2,6477
饋,4,12953
誰,2,6477
猱,2,6477
強,6,19430
官,6,19430
多,2,6477
方,4,12953
祀,6,19430
端,2,6477
身,6,19430
郎,2,6477
郭,2,6477
西,2,6477
乏,2,6477
