Character, Abs. Freq., Rel. Freq.
帝,2,102041
用,2,102041
坐,2,102041
罪,2,102041
掾,2,102041
七,2,102041
賜,2,102041
伏,2,102041
太,2,102041
受,2,102041
禮,2,102041
民,2,102041
獄,2,102041
世,2,102041
南,4,204082
切,2,102041
疋,2,102041
士,2,102041
訟,2,102041
儉,2,102041
俊,2,102041
經,2,102041
賻,2,102041
博,2,102041
賢,2,102041
上,2,102041
策,2,102041
陳,2,102041
和,2,102041
中,2,102041
元,2,102041
好,2,102041
歐,6,306122
追,2,102041
陽,6,306122
吏,2,102041
尚,2,102041
言,2,102041
徒,2,102041
棺,2,102041
伯,2,102041
汝,4,204082
木,2,102041
大,2,102041
敦,2,102041
恭,2,102041
甚,2,102041
學,2,102041
化,2,102041
守,2,102041
生,2,102041
歙,10,510204
千,2,102041
司,2,102041
贓,2,102041
從,4,204082
書,4,204082
贈,2,102041
為,4,204082
死,2,102041
