Character, Abs. Freq., Rel. Freq.
嗣,6,33040
一,8,44053
葬,6,33040
池,2,11013
高,4,22026
濡,2,11013
功,4,22026
丑,2,11013
書,10,55066
教,2,11013
應,2,11013
蕭,2,11013
：,4,22026
貧,4,22026
加,2,11013
聲,2,11013
穆,4,22026
臚,2,11013
攻,2,11013
聰,2,11013
終,2,11013
門,2,11013
長,4,22026
崩,8,44053
艾,2,11013
受,2,11013
方,2,11013
首,2,11013
陽,2,11013
沾,2,11013
勤,2,11013
篤,6,33040
疏,2,11013
」,2,11013
流,2,11013
世,4,22026
經,4,22026
行,2,11013
殿,2,11013
篇,2,11013
中,6,33040
洛,2,11013
澍,2,11013
比,2,11013
見,2,11013
興,4,22026
近,6,33040
晝,2,11013
無,10,55066
安,2,11013
堂,2,11013
獄,2,11013
上,8,44053
耆,2,11013
冤,2,11013
動,2,11013
賜,4,22026
東,8,44053
品,2,11013
果,2,11013
協,2,11013
瑞,2,11013
前,2,11013
薨,2,11013
徒,2,11013
國,14,77093
曹,4,22026
圖,2,11013
逆,2,11013
坯,2,11013
云,2,11013
秭,2,11013
孝,6,33040
闕,2,11013
縣,2,11013
矢,2,11013
京,8,44053
貴,2,11013
司,2,11013
元,16,88106
袁,2,11013
節,4,22026
恕,2,11013
錄,2,11013
市,2,11013
物,2,11013
貢,2,11013
並,2,11013
使,4,22026
癸,2,11013
寺,4,22026
月,34,187225
嬪,2,11013
自,10,55066
地,2,11013
族,2,11013
具,2,11013
舊,2,11013
承,6,33040
損,2,11013
敬,2,11013
誦,2,11013
令,2,11013
康,2,11013
年,38,209251
雹,2,11013
林,6,33040
屢,2,11013
遂,4,22026
宮,12,66079
議,2,11013
德,6,33040
夜,2,11013
墓,2,11013
牢,2,11013
持,2,11013
射,2,11013
內,2,11013
涿,2,11013
宜,4,22026
典,2,11013
赦,2,11013
師,8,44053
山,6,33040
伏,2,11013
捕,4,22026
收,8,44053
城,2,11013
序,2,11013
填,2,11013
景,4,22026
酉,2,11013
帛,2,11013
爾,2,11013
外,4,22026
正,12,66079
復,2,11013
水,4,22026
覺,2,11013
槃,2,11013
劍,2,11013
衛,4,22026
廣,2,11013
到,2,11013
遊,2,11013
照,2,11013
容,2,11013
異,2,11013
還,2,11013
民,2,11013
臣,8,44053
假,4,22026
「,2,11013
靜,2,11013
樂,4,22026
義,4,22026
時,4,22026
祠,2,11013
陵,4,22026
臺,2,11013
涛,2,11013
雲,2,11013
謁,2,11013
史,2,11013
餘,6,33040
績,2,11013
總,2,11013
護,2,11013
印,2,11013
氣,2,11013
象,2,11013
綬,2,11013
幸,8,44053
言,2,11013
將,6,33040
閱,2,11013
好,2,11013
改,4,22026
生,2,11013
愍,2,11013
梁,4,22026
氏,2,11013
甚,2,11013
讓,2,11013
己,2,11013
靈,2,11013
丁,2,11013
昌,2,11013
殺,4,22026
嶷,2,11013
詩,2,11013
彰,2,11013
記,2,11013
仁,4,22026
河,2,11013
寧,2,11013
澤,4,22026
廬,2,11013
乘,2,11013
傳,6,33040
風,6,33040
徼,2,11013
食,2,11013
意,2,11013
起,2,11013
角,2,11013
八,2,11013
諱,2,11013
雍,2,11013
祀,2,11013
離,4,22026
望,4,22026
黎,2,11013
壞,2,11013
寬,4,22026
登,4,22026
后,8,44053
皇,6,33040
儀,2,11013
封,2,11013
雨,6,33040
天,4,22026
宣,2,11013
深,2,11013
求,2,11013
鵠,2,11013
觀,2,11013
降,2,11013
朝,2,11013
即,2,11013
立,2,11013
園,6,33040
緱,2,11013
殯,2,11013
砥,2,11013
今,2,11013
章,10,55066
憲,8,44053
竇,4,22026
覽,4,22026
域,2,11013
政,2,11013
弟,2,11013
禮,2,11013
紹,2,11013
奉,4,22026
太,6,33040
舍,2,11013
畋,2,11013
廟,2,11013
豫,2,11013
擅,2,11013
貞,2,11013
履,4,22026
及,4,22026
尉,4,22026
駟,2,11013
讌,2,11013
明,4,22026
束,2,11013
惠,2,11013
賓,4,22026
重,2,11013
置,4,22026
旱,2,11013
鴻,4,22026
獲,2,11013
閉,2,11013
舉,2,11013
悉,6,33040
為,10,55066
岐,2,11013
庶,2,11013
母,2,11013
須,2,11013
歲,2,11013
早,2,11013
北,4,22026
符,2,11013
嬙,2,11013
蒙,2,11013
歸,4,22026
侯,2,11013
道,4,22026
靡,2,11013
巳,2,11013
羽,2,11013
詔,8,44053
稅,2,11013
譯,2,11013
校,4,22026
七,6,33040
和,10,55066
夷,4,22026
百,6,33040
潛,2,11013
扶,2,11013
寵,4,22026
位,6,33040
指,2,11013
囚,2,11013
憂,2,11013
鄭,2,11013
茂,2,11013
厥,2,11013
日,8,44053
車,2,11013
玉,2,11013
燔,2,11013
兼,2,11013
永,4,22026
南,2,11013
尚,2,11013
人,8,44053
式,2,11013
丈,4,22026
鴈,2,11013
乞,2,11013
躬,2,11013
弒,2,11013
茏,2,11013
身,4,22026
裂,2,11013
勒,2,11013
遠,4,22026
恣,2,11013
光,2,11013
洽,2,11013
恩,2,11013
西,4,22026
絕,2,11013
祖,2,11013
籍,2,11013
親,4,22026
就,2,11013
初,6,33040
郭,2,11013
白,2,11013
單,2,11013
春,10,55066
郊,2,11013
軍,6,33040
誼,4,22026
同,2,11013
治,2,11013
玄,2,11013
谿,2,11013
郡,4,22026
順,4,22026
大,16,88106
遣,4,22026
蓋,2,11013
業,2,11013
虛,2,11013
古,4,22026
官,6,33040
黨,2,11013
相,2,11013
奇,2,11013
朕,2,11013
右,6,33040
服,2,11013
午,2,11013
帝,16,88106
成,2,11013
囿,4,22026
蠻,4,22026
厭,2,11013
郎,2,11013
馬,2,11013
宗,6,33040
左,2,11013
殊,2,11013
豐,2,11013
壬,2,11013
藝,2,11013
珍,2,11013
