Character, Abs. Freq., Rel. Freq.
臣,4,208333
反,2,104167
徵,2,104167
君,4,208333
永,2,104167
德,2,104167
門,2,104167
王,2,104167
奉,2,104167
東,2,104167
「,4,208333
憲,2,104167
荀,2,104167
惠,2,104167
人,2,104167
辟,4,208333
軍,4,208333
恁,4,208333
帝,4,208333
上,2,104167
字,2,104167
祭,2,104167
驃,6,312500
對,2,104167
敬,2,104167
將,4,208333
酒,2,104167
中,2,104167
朝,2,104167
會,2,104167
大,2,104167
？,2,104167
」,4,208333
禮,2,104167
署,2,104167
騎,6,312500
蒼,2,104167
檢,2,104167
秉,2,104167
：,4,208333
鴈,2,104167
平,4,208333
執,2,104167
來,6,312500
戲,2,104167
敢,2,104167
法,2,104167
