Character, Abs. Freq., Rel. Freq.
勒,2,61728
贓,2,61728
隴,2,61728
死,4,123457
史,2,61728
豪,6,185185
州,2,61728
一,2,61728
欲,2,61728
焚,2,61728
對,2,61728
詣,6,185185
第,2,61728
金,2,61728
大,2,61728
巖,2,61728
蔽,2,61728
事,2,61728
便,2,61728
狀,2,61728
言,4,123457
中,4,123457
推,2,61728
劍,2,61728
功,2,61728
爰,2,61728
顛,6,185185
監,2,61728
誣,2,61728
遂,2,61728
護,2,61728
城,2,61728
奏,4,123457
前,2,61728
奉,2,61728
隸,2,61728
繫,2,61728
象,2,61728
效,2,61728
奴,2,61728
羌,12,370370
為,10,308642
林,18,555556
亡,2,61728
長,2,61728
上,2,61728
火,2,61728
使,2,61728
藏,2,61728
種,2,61728
收,2,61728
刺,2,61728
岸,4,123457
兄,2,61728
罔,2,61728
竇,2,61728
官,2,61728
獄,4,123457
卑,2,61728
吾,2,61728
降,2,61728
反,2,61728
祖,2,61728
問,2,61728
誅,2,61728
見,2,61728
忍,2,61728
影,2,61728
涼,2,61728
屈,2,61728
秦,2,61728
諸,2,61728
姐,2,61728
西,4,123457
鞏,2,61728
湳,2,61728
什,2,61728
兩,2,61728
羽,2,61728
免,2,61728
塞,2,61728
罪,2,61728
穴,2,61728
虎,2,61728
復,4,123457
外,2,61728
神,2,61728
