Character, Abs. Freq., Rel. Freq.
妻,2,29762
古,4,59524
孫,2,29762
法,2,29762
世,2,29762
清,2,29762
胡,2,29762
敗,2,29762
朝,4,59524
薦,2,29762
大,4,59524
因,2,29762
欽,2,29762
堂,2,29762
降,4,59524
函,2,29762
弊,2,29762
諫,4,59524
守,2,29762
重,4,59524
丹,28,416667
對,2,29762
「,6,89286
嘗,2,29762
陰,2,29762
終,2,29762
歎,2,29762
從,2,29762
父,2,29762
夜,2,29762
自,4,59524
年,6,89286
牧,2,29762
晝,2,29762
」,6,89286
業,2,29762
功,4,59524
稚,2,29762
安,6,89286
傳,4,59524
講,2,29762
里,2,29762
署,2,29762
位,2,29762
儒,2,29762
集,4,59524
更,8,119048
畝,2,29762
卿,4,59524
裹,2,29762
求,2,29762
乘,4,59524
宅,2,29762
都,2,29762
行,2,29762
昌,2,29762
郭,14,208333
劉,2,29762
經,2,29762
鄉,2,29762
奉,2,29762
節,8,119048
常,2,29762
慨,2,29762
南,6,89286
徵,2,29762
歆,2,29762
賜,2,29762
曹,4,59524
視,2,29762
少,2,29762
德,2,29762
詩,2,29762
居,2,29762
編,4,59524
匡,2,29762
州,2,29762
蒲,2,29762
高,2,29762
廉,2,29762
異,2,29762
谷,2,29762
舉,2,29762
謁,2,29762
郡,4,59524
田,4,59524
狀,2,29762
薨,2,29762
陽,6,89286
席,2,29762
纏,2,29762
還,2,29762
事,4,59524
使,6,89286
官,2,29762
今,2,29762
百,2,29762
為,20,297619
志,2,29762
字,2,29762
京,2,29762
送,2,29762
人,4,59524
果,2,29762
增,2,29762
議,4,59524
徒,4,59524
黃,2,29762
典,2,29762
杜,2,29762
持,4,59524
名,2,29762
負,2,29762
問,2,29762
布,2,29762
：,6,89286
無,2,29762
寵,2,29762
會,2,29762
石,2,29762
入,2,29762
代,2,29762
詔,2,29762
甚,2,29762
買,4,59524
士,2,29762
宗,2,29762
讓,2,29762
諸,2,29762
程,2,29762
亶,2,29762
千,2,29762
魯,2,29762
伏,2,29762
關,6,89286
公,8,119048
時,2,29762
累,2,29762
家,4,59524
長,2,29762
稽,2,29762
司,4,59524
賢,2,29762
歸,6,89286
師,6,89286
擔,2,29762
正,4,59524
車,4,59524
受,4,59524
咸,2,29762
符,2,29762
太,2,29762
敬,2,29762
