Character, Abs. Freq., Rel. Freq.
彌,2,45662
憂,2,45662
側,2,45662
聖,2,45662
謀,2,45662
反,2,45662
右,2,45662
寵,2,45662
勝,2,45662
氏,2,45662
儀,2,45662
上,2,45662
懼,2,45662
入,2,45662
身,4,91324
國,2,45662
：,2,45662
朝,2,45662
旱,2,45662
為,4,91324
歸,2,45662
京,2,45662
大,4,91324
心,2,45662
貴,2,45662
侍,8,182648
報,2,45662
后,2,45662
興,4,91324
敢,2,45662
親,2,45662
自,4,91324
高,2,45662
露,2,45662
災,2,45662
忠,2,45662
異,2,45662
动,2,45662
門,2,45662
世,2,45662
謁,2,45662
左,2,45662
尚,2,45662
戚,2,45662
比,2,45662
「,2,45662
郎,4,91324
暴,2,45662
善,4,91324
千,2,45662
表,2,45662
侦,2,45662
季,4,91324
夕,2,45662
遷,2,45662
字,4,91324
餘,2,45662
乘,2,45662
長,2,45662
東,2,45662
牧,2,45662
八,2,45662
累,2,45662
石,2,45662
州,2,45662
往,2,45662
時,2,45662
數,2,45662
獻,2,45662
人,10,228311
鄧,10,228311
每,2,45662
將,2,45662
軍,2,45662
咸,2,45662
冥,4,91324
閶,8,182648
家,2,45662
水,2,45662
陪,2,45662
拜,2,45662
色,2,45662
篤,2,45662
顏,2,45662
形,2,45662
誡,2,45662
公,4,91324
侯,2,45662
」,2,45662
守,2,45662
昭,4,91324
近,2,45662
臣,2,45662
太,2,45662
漢,2,45662
郡,2,45662
中,8,182648
卿,2,45662
來,2,45662
外,2,45662
輔,2,45662
言,4,91324
恃,2,45662
納,4,91324
黃,2,45662
法,2,45662
敬,2,45662
