Character, Abs. Freq., Rel. Freq.
愛,2,106383
甚,2,106383
稜,8,425532
稼,2,106383
潁,2,106383
字,2,106383
為,4,212766
伏,2,106383
功,2,106383
病,2,106383
興,2,106383
葛,2,106383
川,2,106383
畏,2,106383
直,2,106383
界,2,106383
遷,2,106383
性,2,106383
慕,2,106383
拔,2,106383
車,2,106383
持,2,106383
韓,6,319149
無,2,106383
期,2,106383
鄰,2,106383
令,2,106383
行,2,106383
縣,2,106383
吏,2,106383
傷,2,106383
滯,2,106383
懾,2,106383
守,4,212766
太,4,212766
陽,2,106383
伯,2,106383
視,2,106383
扶,2,106383
師,2,106383
時,2,106383
年,2,106383
雹,2,106383
豪,2,106383
權,2,106383
風,2,106383
曹,2,106383
表,2,106383
獨,2,106383
民,2,106383
人,2,106383
邳,4,212766
政,2,106383
代,2,106383
義,2,106383
幽,2,106383
陰,2,106383
事,2,106383
南,2,106383
