Character, Abs. Freq., Rel. Freq.
叔,2,22173
按,2,22173
詔,2,22173
相,2,22173
察,2,22173
冠,2,22173
尤,2,22173
援,2,22173
舊,2,22173
從,8,88692
宗,2,22173
擊,2,22173
母,2,22173
郡,4,44346
立,2,22173
詣,4,44346
年,8,88692
言,2,22173
千,2,22173
威,2,22173
事,4,44346
避,2,22173
太,4,44346
嚴,32,354767
杜,2,22173
陳,4,44346
為,8,88692
引,2,22173
自,4,44346
貢,2,22173
聽,2,22173
形,2,22173
歸,2,22173
汲,4,44346
林,2,22173
納,2,22173
付,2,22173
情,2,22173
生,2,22173
斤,2,22173
美,2,22173
歲,2,22173
佩,2,22173
今,2,22173
沛,2,22173
曹,4,44346
兵,4,44346
屯,2,22173
終,2,22173
境,2,22173
武,6,66519
單,2,22173
右,2,22173
卒,2,22173
迎,2,22173
謁,2,22173
舍,2,22173
申,2,22173
衣,2,22173
陽,2,22173
手,2,22173
西,4,44346
江,2,22173
風,2,22173
壽,2,22173
學,2,22173
送,2,22173
兄,2,22173
奴,2,22173
氏,2,22173
孫,4,44346
令,2,22173
宜,4,44346
帝,8,88692
父,4,44346
邊,2,22173
寄,2,22173
州,2,22173
養,2,22173
欲,2,22173
敕,4,44346
秋,2,22173
觀,2,22173
會,2,22173
駕,2,22173
功,2,22173
史,6,66519
平,2,22173
中,6,66519
河,2,22173
弟,2,22173
官,2,22173
士,4,44346
金,2,22173
問,2,22173
省,2,22173
迴,2,22173
連,2,22173
率,2,22173
遣,6,66519
七,2,22173
庫,2,22173
榮,2,22173
初,4,44346
見,4,44346
校,4,44346
每,2,22173
醫,2,22173
蘭,2,22173
龔,6,66519
顯,2,22173
字,2,22173
騎,2,22173
葛,2,22173
敬,2,22173
郎,6,66519
祭,4,44346
王,2,22173
法,2,22173
李,2,22173
使,2,22173
召,2,22173
衛,2,22173
勞,2,22173
書,6,66519
閣,2,22173
朱,2,22173
馬,16,177384
寮,2,22173
軍,4,44346
劾,2,22173
闕,2,22173
知,2,22173
射,2,22173
置,2,22173
征,2,22173
上,6,66519
車,4,44346
肆,2,22173
大,2,22173
外,4,44346
黃,2,22173
同,2,22173
將,8,88692
服,2,22173
輒,4,44346
營,2,22173
護,4,44346
酒,2,22173
無,2,22173
時,4,44346
職,2,22173
典,4,44346
往,4,44346
北,2,22173
南,2,22173
奉,4,44346
固,2,22173
人,4,44346
居,2,22173
安,4,44346
習,2,22173
撫,2,22173
御,4,44346
守,4,44346
定,2,22173
臺,2,22173
東,2,22173
留,6,66519
元,2,22173
疾,2,22173
帶,2,22173
依,2,22173
百,2,22173
班,2,22173
諸,2,22173
梧,4,44346
狀,2,22173
方,2,22173
卿,2,22173
司,6,66519
左,2,22173
憚,2,22173
便,4,44346
失,2,22173
處,2,22173
余,4,44346
幘,2,22173
復,2,22173
革,2,22173
記,2,22173
闥,2,22173
明,4,44346
持,2,22173
封,2,22173
都,4,44346
劍,2,22173
注,2,22173
稷,2,22173
章,4,44346
扶,2,22173
聞,2,22173
婿,2,22173
仁,2,22173
徒,2,22173
春,2,22173
表,2,22173
建,6,66519
侯,4,44346
述,4,44346
仲,2,22173
病,4,44346
姊,2,22173
步,2,22173
牧,4,44346
受,2,22173
阿,4,44346
雒,2,22173
羽,2,22173
丞,2,22173
長,2,22173
門,4,44346
賜,4,44346
視,4,44346
拜,4,44346
舉,4,44346
藥,2,22173
親,4,44346
蚩,2,22173
刀,4,44346
縛,2,22173
