Character, Abs. Freq., Rel. Freq.
帳,2,62500
好,2,62500
任,2,62500
性,2,62500
」,2,62500
侈,2,62500
郡,2,62500
居,2,62500
高,4,125000
竹,2,62500
乾,2,62500
盧,2,62500
瑟,2,62500
狗,2,62500
書,2,62500
黃,2,62500
傳,2,62500
服,2,62500
伯,2,62500
常,4,125000
千,2,62500
餘,2,62500
愁,2,62500
放,2,62500
坐,2,62500
博,2,62500
菟,2,62500
徒,4,125000
才,2,62500
洽,2,62500
世,2,62500
堂,2,62500
籠,2,62500
弟,2,62500
晚,2,62500
冬,2,62500
儒,4,125000
逐,2,62500
飾,2,62500
鄭,2,62500
茲,2,62500
間,2,62500
玄,2,62500
多,2,62500
授,2,62500
猶,2,62500
施,2,62500
拘,2,62500
鼓,2,62500
融,4,125000
大,2,62500
節,2,62500
養,2,62500
室,2,62500
絳,2,62500
女,2,62500
棘,2,62500
前,2,62500
樂,4,125000
涉,2,62500
相,2,62500
諸,2,62500
麋,2,62500
善,2,62500
憒,4,125000
達,2,62500
宇,2,62500
涿,2,62500
蔡,2,62500
懷,2,62500
入,2,62500
秋,2,62500
吹,2,62500
「,2,62500
紗,2,62500
解,2,62500
生,6,187500
數,2,62500
存,2,62500
日,2,62500
列,2,62500
思,4,125000
海,2,62500
笛,2,62500
蒼,2,62500
器,2,62500
通,2,62500
芼,2,62500
為,2,62500
馬,4,125000
教,2,62500
北,2,62500
送,2,62500
植,2,62500
鮮,2,62500
：,2,62500
