Character, Abs. Freq., Rel. Freq.
使,2,62112
女,4,124224
笑,2,62112
挽,2,62112
君,8,248447
更,2,62112
生,4,124224
妾,2,62112
共,2,62112
「,6,186335
奉,2,62112
父,4,124224
吾,4,124224
飾,4,124224
巾,2,62112
桓,2,62112
拜,2,62112
清,2,62112
甕,2,62112
鄉,4,124224
少,6,186335
稱,2,62112
敢,2,62112
字,2,62112
婦,2,62112
當,2,62112
盛,2,62112
布,2,62112
歸,4,124224
行,2,62112
」,6,186335
妻,8,248447
侍,4,124224
里,2,62112
氏,2,62112
資,2,62112
約,2,62112
學,2,62112
修,4,124224
賤,4,124224
美,2,62112
車,2,62112
悉,2,62112
送,2,62112
人,2,62112
汲,2,62112
畢,2,62112
奇,2,62112
德,2,62112
姑,2,62112
悅,2,62112
邦,2,62112
執,2,62112
就,2,62112
櫛,2,62112
：,6,186335
大,2,62112
鮑,2,62112
志,2,62112
道,2,62112
甚,2,62112
習,2,62112
從,2,62112
御,2,62112
提,2,62112
富,2,62112
禮,4,124224
裳,2,62112
貧,2,62112
嘗,2,62112
命,2,62112
守,2,62112
苦,2,62112
宣,10,310559
嬌,2,62112
鹿,2,62112
著,2,62112
服,2,62112
短,2,62112
