Character, Abs. Freq., Rel. Freq.
耕,2,25445
跡,2,25445
吁,2,25445
成,2,25445
貴,2,25445
大,2,25445
正,4,50891
婦,2,25445
默,4,50891
鳧,2,25445
楹,2,25445
軀,2,25445
俗,2,25445
千,4,50891
龜,4,50891
喔,2,25445
咿,2,25445
勞,2,25445
訾,2,25445
蔽,2,25445
廉,4,50891
誰,2,25445
亢,2,25445
復,2,25445
氾,4,50891
心,4,50891
願,2,25445
孰,4,50891
釜,2,25445
高,4,50891
身,2,25445
款,4,50891
富,2,25445
棄,2,25445
物,2,25445
窮,2,25445
自,2,25445
盡,2,25445
來,2,25445
卜,2,25445
從,6,76336
神,2,25445
用,2,25445
游,2,25445
事,4,50891
行,2,25445
力,2,25445
士,2,25445
嗟,2,25445
鶩,2,25445
斯,4,50891
屈,4,50891
疑,2,25445
君,6,76336
舉,2,25445
潔,4,50891
？,38,483461
竭,2,25445
濁,2,25445
誅,2,25445
送,2,25445
放,2,25445
韋,2,25445
謝,2,25445
賢,2,25445
誠,2,25445
鈞,2,25445
生,4,50891
見,4,50891
將,18,229008
寸,2,25445
張,2,25445
為,4,50891
言,2,25445
讒,4,50891
危,2,25445
釋,2,25445
端,2,25445
爭,2,25445
蟬,2,25445
余,2,25445
保,2,25445
往,4,50891
意,2,25445
吾,6,76336
栗,2,25445
無,4,50891
太,2,25445
中,2,25445
馬,2,25445
亂,2,25445
重,2,25445
媮,2,25445
里,2,25445
食,2,25445
水,2,25445
鋤,2,25445
黃,4,50891
清,4,50891
年,2,25445
名,4,50891
尺,2,25445
忠,4,50891
拂,2,25445
！,2,25445
梯,2,25445
雷,2,25445
鵠,2,25445
通,2,25445
世,2,25445
滑,2,25445
鳴,2,25445
波,2,25445
慮,2,25445
數,2,25445
溷,2,25445
直,2,25445
明,2,25445
短,2,25445
兒,2,25445
決,2,25445
因,2,25445
稽,2,25445
」,8,101781
長,2,25445
草,2,25445
詹,6,76336
脂,2,25445
人,6,76336
知,8,101781
鐘,2,25445
鄭,2,25445
全,2,25445
超,2,25445
煩,2,25445
騏,2,25445
偷,2,25445
原,4,50891
上,2,25445
雞,2,25445
貞,2,25445
突,2,25445
駒,2,25445
毀,2,25445
軛,2,25445
輕,2,25445
瓦,2,25445
茅,2,25445
駑,2,25445
驥,2,25445
朴,2,25445
哫,2,25445
教,2,25445
逮,2,25445
尹,6,76336
諱,2,25445
寧,16,203562
：,8,101781
鄣,2,25445
儒,2,25445
；,4,50891
比,2,25445
昂,4,50891
智,2,25445
凶,2,25445
翼,4,50891
真,2,25445
策,6,76336
吉,2,25445
隨,2,25445
悃,4,50891
「,8,101781
