Character, Abs. Freq., Rel. Freq.
屈,1,55249
迎,1,55249
舊,1,55249
多,1,55249
坐,1,55249
傷,1,55249
龍,1,55249
恨,1,55249
東,1,55249
磕,2,110497
心,1,55249
胥,1,55249
伊,1,55249
懷,2,110497
橫,1,55249
生,1,55249
旌,1,55249
余,4,220994
難,1,55249
陽,2,110497
蛟,1,55249
歡,1,55249
殃,1,55249
成,1,55249
都,1,55249
沈,1,55249
芙,1,55249
從,1,55249
開,1,55249
運,1,55249
伍,1,55249
水,1,55249
春,1,55249
茲,1,55249
陳,1,55249
魚,1,55249
注,1,55249
辛,1,55249
容,1,55249
顧,1,55249
上,1,55249
離,1,55249
榜,1,55249
積,1,55249
伯,1,55249
根,1,55249
抽,1,55249
淮,1,55249
河,1,55249
電,1,55249
裔,1,55249
念,2,110497
舫,1,55249
臧,1,55249
委,1,55249
汎,1,55249
萍,1,55249
流,2,110497
援,1,55249
旗,1,55249
竊,1,55249
欣,1,55249
夷,1,55249
鯈,1,55249
思,1,55249
內,1,55249
望,1,55249
騖,1,55249
文,1,55249
濱,1,55249
遺,1,55249
瀨,1,55249
悲,1,55249
門,1,55249
列,1,55249
哀,1,55249
引,1,55249
湘,1,55249
逝,1,55249
躍,1,55249
忽,1,55249
導,1,55249
古,1,55249
蔡,1,55249
往,1,55249
行,1,55249
微,1,55249
江,2,110497
草,1,55249
捐,1,55249
遭,1,55249
淫,1,55249
蕖,1,55249
蘭,1,55249
艱,1,55249
無,1,55249
蒲,1,55249
擠,1,55249
為,1,55249
繼,1,55249
季,1,55249
蓋,1,55249
雲,1,55249
浮,2,110497
沛,2,110497
