Character, Abs. Freq., Rel. Freq.
螭,1,54945
宿,1,54945
逝,1,54945
武,1,54945
酌,1,54945
逍,1,54945
陽,1,54945
摽,1,54945
俗,1,54945
丘,1,54945
雲,1,54945
枉,1,54945
駕,1,54945
永,1,54945
為,1,54945
庫,1,54945
廣,1,54945
枝,1,54945
慄,1,54945
疾,1,54945
貞,1,54945
憐,1,54945
糧,1,54945
氣,1,54945
游,1,54945
行,1,54945
旌,1,54945
華,1,54945
蓋,1,54945
建,1,54945
軔,1,54945
南,1,54945
積,1,54945
發,1,54945
揚,1,54945
馳,1,54945
余,1,54945
志,1,54945
葛,1,54945
休,1,54945
內,1,54945
神,1,54945
嶺,1,54945
傷,1,54945
息,1,54945
覽,1,54945
母,1,54945
漠,1,54945
思,1,54945
晨,1,54945
慘,1,54945
瓟,1,54945
旄,1,54945
騖,1,54945
紛,1,54945
西,1,54945
路,1,54945
醴,1,54945
冥,2,109890
吾,2,109890
鬱,1,54945
遙,1,54945
歷,1,54945
靈,1,54945
怫,1,54945
中,1,54945
乘,1,54945
抑,1,54945
交,1,54945
聊,1,54945
靜,1,54945
登,3,164835
播,1,54945
抽,1,54945
慶,1,54945
愴,2,109890
惟,1,54945
歌,1,54945
援,1,54945
錯,1,54945
連,1,54945
婁,1,54945
體,1,54945
徵,1,54945
接,1,54945
正,1,54945
女,1,54945
自,1,54945
方,1,54945
玉,1,54945
蔥,1,54945
國,1,54945
榮,1,54945
車,1,54945
久,1,54945
微,1,54945
期,1,54945
玄,2,109890
闢,1,54945
心,2,109890
瓜,1,54945
曏,1,54945
枯,1,54945
光,1,54945
寤,1,54945
時,1,54945
遠,1,54945
氛,1,54945
感,1,54945
畢,1,54945
皇,1,54945
槁,1,54945
悲,1,54945
步,1,54945
水,1,54945
北,1,54945
