Character, Abs. Freq., Rel. Freq.
畢,1,18519
獻,1,18519
皇,2,37037
灼,1,18519
冥,2,37037
鴞,1,18519
牛,1,18519
讒,1,18519
精,2,37037
師,1,18519
石,1,18519
蟲,1,18519
使,1,18519
慎,1,18519
鶴,1,18519
媞,2,37037
太,1,18519
諛,1,18519
溷,1,18519
卒,1,18519
為,4,74074
女,1,18519
聞,1,18519
八,1,18519
躊,1,18519
近,1,18519
蕪,1,18519
處,1,18519
安,3,55556
輂,1,18519
泥,1,18519
湛,2,37037
思,2,37037
今,1,18519
孫,1,18519
室,1,18519
芷,1,18519
世,4,74074
困,1,18519
柰,1,18519
玉,1,18519
杜,1,18519
眇,2,37037
聊,1,18519
梟,1,18519
蠹,1,18519
達,1,18519
公,1,18519
留,2,37037
嚅,1,18519
屑,1,18519
蓬,1,18519
戚,1,18519
入,1,18519
神,1,18519
峨,1,18519
色,1,18519
淹,1,18519
忠,1,18519
居,1,18519
侍,2,37037
飯,1,18519
唐,1,18519
文,1,18519
軻,1,18519
喜,1,18519
意,1,18519
躇,1,18519
床,1,18519
偏,1,18519
捐,1,18519
遇,2,37037
飛,1,18519
滯,1,18519
持,1,18519
寶,1,18519
甯,1,18519
改,1,18519
泠,2,37037
湣,2,37037
楚,1,18519
獨,2,37037
小,1,18519
議,1,18519
傷,1,18519
敗,1,18519
笫,1,18519
嫫,1,18519
論,1,18519
抑,1,18519
訟,1,18519
剌,1,18519
命,1,18519
逍,1,18519
埳,1,18519
吾,2,37037
滅,2,37037
踸,1,18519
衡,1,18519
載,1,18519
心,2,37037
桂,1,18519
氏,1,18519
歸,1,18519
淖,1,18519
土,1,18519
厲,1,18519
度,1,18519
加,1,18519
塗,1,18519
壅,1,18519
艾,1,18519
視,1,18519
勃,1,18519
前,1,18519
弭,1,18519
塵,1,18519
遠,3,55556
芳,1,18519
逝,2,37037
人,3,55556
白,2,37037
委,1,18519
疏,1,18519
法,1,18519
踔,1,18519
武,1,18519
年,1,18519
事,1,18519
英,1,18519
斮,1,18519
薄,1,18519
作,1,18519
道,1,18519
蓼,1,18519
愉,1,18519
誰,1,18519
易,1,18519
馬,1,18519
孰,1,18519
固,1,18519
晦,1,18519
呂,1,18519
久,2,37037
專,1,18519
桑,1,18519
毀,1,18519
橫,1,18519
日,3,55556
羌,1,18519
壽,1,18519
徑,1,18519
乖,1,18519
罔,1,18519
兩,1,18519
恲,2,37037
娵,1,18519
天,2,37037
囁,1,18519
群,1,18519
平,1,18519
終,1,18519
干,1,18519
集,1,18519
穢,1,18519
自,3,55556
流,2,37037
望,1,18519
蘭,1,18519
耄,1,18519
和,1,18519
閭,1,18519
岒,1,18519
哀,1,18519
怵,1,18519
驥,1,18519
置,1,18519
黑,1,18519
遭,1,18519
寧,1,18519
服,1,18519
周,2,37037
聖,2,37037
西,1,18519
習,1,18519
歌,1,18519
難,1,18519
保,1,18519
海,1,18519
容,1,18519
路,1,18519
蔽,2,37037
多,1,18519
濁,2,37037
葵,1,18519
翼,1,18519
窮,1,18519
沈,2,37037
商,1,18519
恐,1,18519
效,1,18519
絕,1,18519
江,2,37037
極,1,18519
方,1,18519
桓,1,18519
賢,1,18519
異,1,18519
菜,1,18519
玄,2,37037
遙,1,18519
半,1,18519
俗,1,18519
識,1,18519
移,1,18519
純,1,18519
察,2,37037
比,1,18519
屏,1,18519
險,1,18519
爽,1,18519
真,1,18519
勢,1,18519
胥,1,18519
無,5,92593
點,1,18519
戲,1,18519
惡,1,18519
代,1,18519
成,1,18519
依,1,18519
妄,1,18519
醜,1,18519
孔,1,18519
欲,1,18519
嵯,1,18519
虞,1,18519
悼,1,18519
知,4,74074
夭,1,18519
舒,1,18519
正,2,37037
親,2,37037
生,2,37037
御,1,18519
離,1,18519
高,3,55556
冤,1,18519
悲,1,18519
嵾,1,18519
見,2,37037
徙,1,18519
施,1,18519
願,1,18519
當,1,18519
棄,1,18519
陽,2,37037
余,2,37037
志,2,37037
明,1,18519
殲,1,18519
母,1,18519
弊,1,18519
葯,1,18519
？,4,74074
清,2,37037
非,1,18519
